p,name1,item_id,down_sh,up_sh,item_desc
3.4000001,Food and drink,211408,0.32916668,0.095833331,OLIVE OIL - 500ML - 1 LITRE
2.0699999,Food and drink,211409,0.26587301,0.21428572,"PEANUT BUTTER, JAR, 225-350G"
5.670000099999999,Food and drink,211501,0.14864865,0.46621621,CHEDDAR-HOME PRODUCED PER KG
1.0,Food and drink,211506,0.43307087,0.20472442,"CHEESE SPREAD, 125g-200g TUB"
7.0500002,Food and drink,211509,0.13793103,0.41379312,HARD REGIONAL CHEESE PER KG
17.65,Food and drink,211510,0.40140846,0.1056338,PARMESAN CHEESE-PER KG
7.5,Food and drink,211511,0.20425531,0.40851063,SOFT CONTINENTAL CHEESE - KG
1.78,Food and drink,211602,0.46715328,0.18248175,EGGS-MEDIUM-PER DOZ OR 2 X 6
2.2,Food and drink,211603,0.51724136,0.062068965,EGGS-LARGE-PER DOZ OR 2 X 6
1.09,Food and drink,211709,0.18032786,0.29918033,SHOP MILK-WHOLE MILK-4PT/2LTR
0.80000001,Food and drink,211710,0.17006803,0.25850341,MILK SEMI-PER 2 PINTS/1.136 L
1.15,Food and drink,211713,0.11555555,0.19111112,"MILK FLAVOURED, 180-500MLS/GMS"
1.5,Food and drink,211714,0.51229507,0.11065574,NON-DAIRY MILK DRINK 900ML-1LT
1.3,Food and drink,211807,0.52054793,0.15753424,"YOGHURT/FROMAGE 4-6PK, 45-125G"
0.68000001,Food and drink,211808,0.2389937,0.22641509999999998,CHILLED POT DESSERT 125-200G
0.60000002,Food and drink,211814,0.15068494,0.24657534,YOGHURT-SMALL INDIVIDUAL
1.1,Food and drink,211815,0.17006803,0.22448979,FRESH DOUBLE CREAM 250ML-300ML
10.75,Food and drink,211816,0.63274336,0.084070794,POWDERED BABY FORMULA 400-900G
2.0,Food and drink,211901,0.27702704,0.20945945,TEA BAGS PKT OF 80 (230G-250G)
3.5,Food and drink,211904,0.26900584,0.21052632,TEA BAGS-2-PACKET OF 240
1.7,Food and drink,211905,0.12288135,0.1822034,"FLAVRD TEA 15-20 BAGS, 30-40G"
1.25,Food and drink,212001,0.16115703,0.38429752,"FRUIT SQUASH, 750ML - 1.5LT"
0.89999998,Food and drink,212006,0.27397259999999996,0.30136988,FRUIT JUICE NOT ORANGE 1L
0.5,Food and drink,212008,0.08219178,0.45890412,LEMONADE-2 LITRE BOTTLE
0.5,Food and drink,212010,0.076576576,0.37387386,MINERAL WATER STILL 1.5-2L
1.45,Food and drink,212015,0.46250001,0.2375,FIZZY ENERGY DRINK 250-500ML
1.75,Food and drink,212016,0.11409396,0.62416106,FRESH/CHILL ORANGE JUICE 900ML
1.45,Food and drink,212017,0.49333334,0.36666667,FIZZY BOTTLED DRINK 500ML
2.0,Food and drink,212020,0.56502241,0.044843047999999996,FRUIT DRINK BOTTLE 4-8 PACK
0.35500002,Food and drink,212021,0.15040651,0.28455284,BOTTLE STILL WATER 500ML
0.60000002,Food and drink,212022,0.18518518,0.18930042,MIXER DRINK BOTTLE 1L EG TONIC
3.0,Food and drink,212023,0.46902654,0.22566372,COLA/FIZZY DRINK 330ML PK 4-8
0.60000002,Food and drink,212024,0.34710744,0.18595041,FLAVOURED WATER BOTT 900ML-1.5
1.9,Food and drink,212025,0.10593221,0.36864406,"COLA DRINK, REG,BOTTLE,1.25-2L"
1.5,Food and drink,212026,0.12863071,0.47717842,"COLA DRINK, DIET 1.25-2LTR"
0.69999999,Food and drink,212101,0.062240664,0.27800831,SUGAR -GRANULATED-WHITE-PER KG
0.85000002,Food and drink,212106,0.30769232,0.27272728,JAR OF JAM-340-454G
2.0999999,Food and drink,212107,0.35833332,0.19166666,HONEY JAR/BOTTLE 340G-454G
0.64999998,Food and drink,212202,0.16296296,0.2,MINTS
0.69999999,Food and drink,212211,0.21428572,0.19285715,CHOCOLATE 4
0.64999998,Food and drink,212214,0.41269842,0.15873016,FRUIT PASTILLES 2
0.60000002,Food and drink,212217,0.49305555,0.11111111,CHEWING/BUBBLE GUM-SINGLE PK
4.494999900000001,Food and drink,212218,0.22131148,0.35245901,CARTON/BOX OF CHOCS 150-400GM
0.69999999,Food and drink,212222,0.31092438,0.38655463,CHOCOLATE 10
1.0,Food and drink,212223,0.21719457,0.33031675,BRAND CHOC SWEETS 90-185G BAG
1.0,Food and drink,212224,0.1402715,0.50678736,"SWEETS, NOT CHOC, 150-250G BAG"
1.45,Food and drink,212225,0.14622642,0.4009434,CHOCOLATE LARGE BAR 100-200G
0.60000002,Food and drink,212226,0.43349755,0.15270936,CHOCOLATE 12
1.3200001000000001,Food and drink,212309,0.36432639,0.37001899,POTATOES-NEW-PER KG
0.47999999,Food and drink,212310,0.27001861,0.43202978,POTATOES- OLD WHITE PER KG
0.80000001,Food and drink,212311,0.47789472,0.16842106,POTATOES- BAKING PR KG
0.85000002,Food and drink,212402,0.616,0.048,POTATO CRISPS 25G-50G
1.5,Food and drink,212404,0.40206185,0.082474224,POTATO CRISPS-MULTI-PACK
1.8,Food and drink,212405,0.33759591,0.16368286,FROZEN CHIPS 900G-1.5KG
1.3200001000000001,Food and drink,212408,0.22222222,0.56790125,PREMIUM POTATO CRISPS/CHIPS
1.0,Food and drink,212409,0.13927576,0.41225627,P'PARED MASHED POTATO 400-650G
0.89999998,Food and drink,212504,0.39355993,0.25044721,FRESH VEG-CAULIFLOWER-EACH
0.55000001,Food and drink,212510,0.26595744,0.42198581,FRESH VEG-CUCUMBER-WHOLE
0.43000001,Food and drink,212511,0.2267658,0.48698884,FRESH VEG-LETTUCE-ICEBERG-EACH
2.1800001,Food and drink,212515,0.18568665,0.60928434,FRESH VEG-TOMATOES-PER KG
0.75,Food and drink,212516,0.33145009999999997,0.23917137,FRESH VEG-CABBAGE-WHOLE-PER KG
0.5,Food and drink,212518,0.43065694,0.39416059999999997,FRESH VEG-CARROTS-PER KG
0.85000002,Food and drink,212519,0.54696131,0.1436464,FRESH VEG-ONIONS-PER KG
3.1700001,Food and drink,212520,0.35934663,0.27404720000000005,FRESH VEG-MUSHROOMS-PER KG
1.0,Food and drink,212527,0.094594598,0.27702704,PRE-PACKED SALAD 100-250G
1.75,Food and drink,212530,0.38432837,0.30597016,FRESH VEG-BROCCOLI-PER KG
2.1500001,Food and drink,212531,0.36162362,0.29889297,FRESH VEG-COURGETTE-PER KG
0.47999999,Food and drink,212532,0.43589744,0.39743590000000006,FRESH VEG-PEPPERS -LOOSE OR KG
1.2,Food and drink,212533,0.063492067,0.091269843,VEGETABLE STIR FRY FRESH PACK
1.1,Food and drink,212535,0.21212122,0.44338119,SWEET POTATO PER KG OR EACH
0.44999999,Food and drink,212601,0.77493608,0.10485934,CANNED TOMATOES 390-400G
0.85000002,Food and drink,212603,0.23969072,0.18814433,"BAKED BEANS, 400-420G TIN"
0.75,Food and drink,212608,0.63669068,0.053956832999999996,CANNED SWEETCORN 198-340G
1.0,Food and drink,212609,0.12068965,0.30689654,FROZEN GARDEN PEAS 800G-1KG
0.38999999,Food and drink,212709,0.43551403,0.20934579,ORANGES-CLASS 1-EACH
0.85000002,Food and drink,212710,0.57458562,0.28729281,AVOCADO PEAR-EACH
0.30000001,Food and drink,212712,0.5,0.19003691,KIWI FRUIT-EACH
0.5,Food and drink,212715,0.41737288,0.20974576,GRAPEFRUIT-EACH
1.95,Food and drink,212716,0.35054347,0.078804351,APPLES-COOKING-PER KG
1.99,Food and drink,212717,0.47980997,0.11401425,APPLES-DESSERT-PER KG
1.99,Food and drink,212718,0.41333333,0.13333334,PEARS-DESSERT-PER KG
0.76999998,Food and drink,212719,0.21595331,0.036964979,BANANAS-PER KG
4.7199998,Food and drink,212720,0.15681818,0.76590908,STRAWBERRIES PER KG OR PUNNET
4.0,Food and drink,212722,0.29300568,0.33837429,GRAPES-PER KG
2.25,Food and drink,212725,0.52017939,0.25112107,SMALL TYPE ORANGES PER PACK/KG
2.0,Food and drink,212726,0.24312897,0.37632135,PLUMS PER KG/PACK
1.0,Food and drink,212728,0.30864197,0.27160493,PINEAPPLE EACH
1.75,Food and drink,212730,0.016000001,0.28799999,FRUIT FRESH SNACKING 150-350G
0.99000001,Food and drink,212731,0.097560972,0.5487805,MELON EACH EG HONEYDEW
0.33000001,Food and drink,212732,0.38028169,0.22378717,LEMON EACH
11.0,Food and drink,212733,0.51788759,0.2504259,BLUEBERRIES PUNNET OR PER KG
10.6,Food and drink,212734,0.10654206,0.76261681,RASPBERRIES PUNNET OR PER KG
1.28,Food and drink,212806,0.4275862,0.08275862,PACKET OF PEANUTS 150-300G
1.0,Food and drink,212807,0.29122806,0.049122807000000004,CANNED FRUIT-400-450G
2.0,Food and drink,212808,0.26902175,0.25271741,DRIED FRUIT - EG APRICOTS
1.5,Food and drink,212905,0.39862543,0.34707904,VEGETABLE PICKLE 280-520G
0.94999999,Food and drink,212910,0.3489933,0.040268455,CANNED SOUP-390-425G
1.8,Food and drink,212917,0.60593218,0.012711864,TOMATO KETCHUP BOTTLE 340-570G
1.59,Food and drink,212918,0.28378379,0.17567568,FRZN READY-COOKD MEAL SERVES 1
1.5,Food and drink,212923,0.50666666,0.19333333,COOK-IN SAUCE-JAR/CAN 350-520G
1.75,Food and drink,212928,0.37827715,0.16853933,FROZ VEG BURGER/GRILL 180-454G
1.5,Food and drink,212930,0.14166667,0.29583332,MAYONNAISE 390-500G/420-540MLS
1.99,Food and drink,212933,0.11486486,0.36486486,ICE CREAM 450ML-1L
0.75,Food and drink,212934,0.43076923,0.09230769400000001,DRIED POTTED SNACK 50-120G
2.75,Food and drink,212936,0.17006803,0.32653061,CHILLED READY MEAL-MEAT-SERVS1
2.7249999,Food and drink,212937,0.21830986,0.26760563,CHILLED READY MEAL-FISH/VEG
0.62,Food and drink,212938,0.50413221,0.053719006,CHOCOLATE COVERED ICE CREAM
3.0,Food and drink,212939,0.20524018,0.33187774,CHILLED PIZZA EACH 300-600G
22.0,Food and drink,212940,0.41198501,0.29213482,PROTEIN POWDER 900G-2KG
2.0999999,Food and drink,212941,0.20762712,0.34322035,QUICHE 340G-450G
1.5,,212942,0.35344827,0.25862068,VEGETABLE CRISPS PACK 80-125G
2.6500001,Food and drink,213003,0.22406639,0.29460582,COFFEE-INSTANT-100G JAR
2.5,Food and drink,213005,0.26337448,0.12757201,HOT CHOCOLATE DRINK INSTANT
3.5,Food and drink,213006,0.28901735,0.26011559,COFFEE PODS PACK 8-16
8.9249992,Eating out and hotels,220107,0.62275451,0.31137726,PUB -HOT MEAL
1.95,Eating out and hotels,220116,0.80573249,0.11146497,LEMONADE/COLA DRAUGHT
1.8,Eating out and hotels,220117,0.89776355,0.054313100999999996,BOTTLED MINERAL WATER
5.9499998,Eating out and hotels,220120,0.88709676,0.016129031999999998,IN STORE CAFETERIA MEAL
2.5,Eating out and hotels,220121,0.86390531,0.062130179,RESTAURANT CUP OF COFFEE
5.75,Eating out and hotels,220122,0.88772845,0.05221932,RESTAURANT - SWEET COURSE
2.0,Eating out and hotels,220124,0.90170938,0.055555556,MUFFIN/INDIVIDUAL CAKE
2.3499999,Eating out and hotels,220125,0.93890673,0.038585207999999996,FRUIT JUICE BOTTLE 250-350ML
12.5,Eating out and hotels,220128,0.91048592,0.04859335,RESTAURANT MAIN COURSE
1.0,Eating out and hotels,220208,0.68888891,0.15555556,STAFF RESTAURNT HOT SNACK ITEM
2.3,Eating out and hotels,220209,0.95744681,0.035460993999999996,PRIMARY SCHOOL- FIXED CHARGE
2.4000001,Eating out and hotels,220210,0.97058821,0.022058823999999998,SECONDARY SCHOOL- CAFETERIA
1.7,Eating out and hotels,220214,0.75609756,0.073170729,STAFF RESTAURANT MAIN COURSE
6.900000099999999,Eating out and hotels,220301,0.41984734,0.11450382,FISH & CHIPS TAKEAWAY
2.5,Eating out and hotels,220303,0.28947368,0.23976608,SANDWICH-TAKE-AWAY (COLD)
1.4449999,Eating out and hotels,220305,0.36434108,0.20155039,TEA -TAKE-AWAY
1.0,Eating out and hotels,220310,0.94805193,0.009740259499999999,POTATO CRISPS-INDIVIDUAL PACK
7.994999900000001,Eating out and hotels,220316,0.171875,0.1640625,PIZZA TAKEAWAY OR DELIVERED
7.8000002,Eating out and hotels,220318,0.24812031,0.19548872,INDIAN TAKEAWAY
5.7249999,Eating out and hotels,220319,0.29411766,0.16176471,CHINESE TAKEAWAY
1.45,Eating out and hotels,220320,0.30239519,0.35628742,TAKEAWAY SOFT DRINK
2.5,Eating out and hotels,220321,0.60408163,0.08571428800000001,TAKEAWAY COFFEE LATTE
5.5,Eating out and hotels,220323,0.26153848,0.14615385,KEBAB- TAKEAWAY
5.3000002,Eating out and hotels,220324,0.97333336,0.0,CINEMA POPCORN
1.55,Eating out and hotels,220325,0.83823532,0.029411765,VENDING MACHINE - SOFT DRINK
5.3000002,Eating out and hotels,220326,0.368,0.16,TAKEAWAY CHICKEN & CHIPS
1.0,Eating out and hotels,220327,0.37959182,0.12244898,T'AWAY COOKED SAVOURY PASTRY
3.325,,220328,0.38297874,0.14285715,BURGER IN A BUN EAT IN OR TAKE
3.2,Eating out and hotels,310102,0.86710966,0.093023255,DRAUGHT BITTER (PER PINT)
4.0,Eating out and hotels,310104,0.94311374,0.023952097000000002,DRAUGHT STOUT PER PINT
3.55,Eating out and hotels,310109,0.94134897,0.023460411,LAGER - PINT 3.4-4.2%
4.099999899999999,Eating out and hotels,310110,0.94011974,0.01497006,PREMIUM LAGER - PINT 4.3-7.5%
3.7,Eating out and hotels,310111,0.92814374,0.029940118999999998,BOTTLED PREMIUM LAGER 4.3-7.5%
3.8,Eating out and hotels,310114,0.85207099,0.10355029,CIDER 4.5%-5.5% ABV PINT/BOTTL
3.75,Alcohol and tobacco,310207,0.24615385,0.069230773,BITTER-4CANS-440-500ML
4.5,Alcohol and tobacco,310215,0.44144145,0.14864865,LAGER 4 BOTTLES- PREMIUM
10.0,Alcohol and tobacco,310216,0.092105262,0.46052632,LAGER 10 - 24 CANS (440-500ML)
10.75,Alcohol and tobacco,310217,0.13888889999999998,0.30555555,LAGER 10-24 BOTTLES 250-330ML
4.5,Alcohol and tobacco,310219,0.13656388,0.29955947,STOUT - 4 CAN PACK
1.65,Alcohol and tobacco,310220,0.28510639,0.20851064,SPEC'Y BEER BOTT 500ML 4-5.5
4.0,Alcohol and tobacco,310221,0.17991632,0.38912135,APPLE CIDER 4 CAN PK 440-500ML
2.0,Alcohol and tobacco,310222,0.16455697,0.33333334,CIDER FLAVOURED BOTT 500-568ML
3.0999999,Eating out and hotels,310301,0.87905604,0.085545726,WHISKY (PER NIP) SPECIFY ML
3.4000001,Eating out and hotels,310302,0.93604654,0.031976745,VODKA (PER NIP) SPECIFY ML
1.5,Food and drink,310306,0.91369045,0.056547619,BOTTLE OF MIXER 125-200ML
3.0999999,Alcohol and tobacco,310307,0.93113774,0.032934133,LIQUEUR PER NIP   SPECIFY ML
3.2,Eating out and hotels,310309,0.94859815,0.023364486,SPIRIT BASED DRINK 275ML
3.95,Eating out and hotels,310310,0.93093091,0.036036037,"WINE, PER 175 - 250 ML SERVING"
19.0,Eating out and hotels,310315,0.92415732,0.0056179776,BOTTLE OF WINE 70-75CL
3.2,,310316,0.92732561,0.037790697000000005,GIN PER NIP
15.0,Alcohol and tobacco,310401,0.28187919,0.23489933,WHISKY-70 CL BOTTLE
14.0,Alcohol and tobacco,310403,0.24691358,0.18930042,VODKA-70 CL BOTTLE
15.0,Alcohol and tobacco,310405,0.20547946,0.4178082,BRANDY 70CL BOTTLE
9.0,Alcohol and tobacco,310406,0.09205021,0.39330545,FORTIFIED WINE  (70-75CL)
6.25,Alcohol and tobacco,310419,0.43153527,0.28215769,WHITE WINE- EUROPEAN 75CL
6.690000099999999,Alcohol and tobacco,310420,0.23045267,0.29629629999999996,WHITE WINE- NEW WORLD 75CL
6.75,Alcohol and tobacco,310421,0.27160493,0.27160493,RED WINE- EUROPEAN 75CL
6.5,Alcohol and tobacco,310422,0.41666666,0.26666668,RED WINE- NEW WORLD 75CL
26.994999,Alcohol and tobacco,310423,0.2972973,0.3108108,BOTTLE OF CHAMPAGNE 75 CL
6.0,Alcohol and tobacco,310425,0.27210885,0.40136054,ROSE WINE-75CL BOTTLE
7.4899998,Alcohol and tobacco,310426,0.27572018,0.21399178,SPARKLING WINE 75CL MIN 11%ABV
14.0,Alcohol and tobacco,310427,0.24894515,0.28691983,RUM WHITE EG BACARDI 70CL BOTT
15.0,Alcohol and tobacco,310428,0.34934497,0.18340611,CREAM LIQUER 70CL-1LT 14-20%
15.5,Alcohol and tobacco,310429,0.33057851,0.2107438,GIN BOTTLE 70CL
1.8,,310430,0.25630254,0.13025211,PRE MIXED SPIRIT 250-330ML
13.34,Alcohol and tobacco,320108,0.44137931,0.12413793,CIGARETTES 8
10.45,Alcohol and tobacco,320115,0.06944444799999999,0.49305555,CIGARETTES 15
12.33,Alcohol and tobacco,320122,0.42361109999999996,0.13888889999999998,20 FILTER - OTHER BRAND
3.95,Alcohol and tobacco,320124,0.16170213,0.097872339,E-CIG REFILL BOTTL/CART 2-10ML
10.49,Alcohol and tobacco,320125,0.33561644,0.047945205,CIGARETTES 21
6.610000099999999,Alcohol and tobacco,320205,0.52941179,0.125,5 CIGARS: SPECIFY BRAND
15.75,Alcohol and tobacco,320206,0.11267605,0.59859157,HAND ROLLING TOBACCO PACK 30GM
50.0,Housing and utilities,410508,0.016393442,0.0081967209,PLUMBER-DAYTIME HOURLY RATE
41.0,Housing and utilities,410509,0.0069444445,0.0,ELECTRICIAN-DAYTIME RATE/HOUR
150.0,Housing and utilities,410517,0.06666667,0.0,DECORATOR-DAILY RATE;SPEC HRS
25.0,Housing and utilities,410518,0.052631579000000005,0.0,CARPENTER HOURLY RATE
5.0,Housing and utilities,410602,0.41874999,0.10625,READY-MIXED FILLER-INT USE
3.25,Housing and utilities,410607,0.38271606,0.2345679,PAINT BRUSH-2INCH/5CM WIDTH
12.99,Household,410611,0.24358974,0.14743589999999998,DOOR HANDLE-PACK FOR ONE DOOR
39.990002000000004,Household,410614,0.24074075,0.09259259,POWER DRILL-HAMMER ACTION
14.99,Housing and utilities,410621,0.38509318,0.11180124,VARNISH-CLEAR GLOSS-750ML-1LTR
3.2,Household,410625,0.42391303,0.038043477,SCREWDRIVER
9.25,Housing and utilities,410629,0.29770991,0.10687023,WALLPAPER PER ROLL
12.0,Housing and utilities,410631,0.12921348,0.17977528,SHOWER HEAD
24.0,Household,410632,0.45045045,0.090090089,HIRE OF DOMES CARPET CLEANER
24.93,Housing and utilities,410633,0.90579712,0.021739131000000002,MDF
10.0,Housing and utilities,410637,0.34285715,0.17857143,CERAMI TILES 15X15-25X50CM BOX
1.95,Household,410638,0.46451613,0.019354839,WOODSCREWS STEEL/ZIN PLATED PK
15.99,Housing and utilities,410639,0.2849741,0.03626943,PAINT GLOSS/EMUL 750ML-2.5LTR
21.6,Housing and utilities,420101,0.064220183,0.13761468,COAL-HOUSEHOLD BEST QUAL 50KG
25.25,Housing and utilities,420103,0.13761468,0.04587156,SMOKELESS FUEL 50KG
451.29000999999994,Housing and utilities,420405,0.64462811,0.0661157,KEROSENE - 1000L DELIVERED
369.495,Household,430101,0.46232876,0.078767121,DOUBLE WARDROBE
469.0,Household,430104,0.52282161,0.1493776,ARMCHAIR -UPHOLSTERED
494.495,Household,430108,0.54929578,0.14084508,DOUBLE BED-WIDTH APPROX 135CM
122.0,Household,430119,0.61475408,0.10655738,KITCH BASE UNIT WIDTH 800-1000
199.97,Household,430120,0.45634919,0.13095239,COFFEE TABLE
262.0,Household,430122,0.56028366,0.17375886,SINGLE BED-WIDTH 90CM/3FT
250.0,Household,430127,0.50352114,0.15140845,CHEST OF DRAWERS
229.0,Household,430132,0.53076923,0.13076924,MATTRESS- 3FT/90CM
199.0,Household,430133,0.43410853,0.08139535,BOOKCASE/FREESTAND SHELV UNIT
16.0,Household,430134,0.42718446,0.15857606,TABLE LAMP
135.0,Household,430136,0.48701298,0.24675325,PATIO TABLE & CHAIRS-SEASONAL
1399.0,Household,430137,0.58787876,0.11515152,LEATHER SETTEE
199.0,Household,430138,0.45454547,0.11038961,HOME OFFICE DESK
81.0,Household,430139,0.41044775,0.23880596,KITCH WALL UNIT WIDTH 800-1000
599.0,Household,430140,0.46560848,0.084656082,SOFA BED
569.98999,Household,430141,0.64459932,0.17770036,DINING TABLE & 2-6 CHAIRS
44.995003000000004,Household,430142,0.38690478,0.34523809,HIGH CHAIR
634.0,Household,430143,0.42361109999999996,0.12847222,"SETTEE,NON LEATHER - SEE HELP"
18.0,Household,430211,0.37288135,0.15254237,DUVET-DOUBLE TOG 10-13.5
15.0,Household,430216,0.30083567,0.19777159,DUVET COVER
8.0,Household,430224,0.32044199,0.14088398,FITTED BED SHEET
18.49,Household,430227,0.59917355,0.11983471,LAMINATE FLOORING PER SQ M
13.6,Household,430228,0.37014925,0.14328358,BATH SHEET
14.99,Household,430229,0.13253012,0.1626506,FABRIC ROLLER BLIND 120-180CM
20.0,Household,430233,0.72961372,0.10300429,CARPET TUFTED 100% MANMADE FIB
31.99,Household,430234,0.66222221,0.15555556,CARPET TUFTED MIN 80% WOOL FIB
48.900002,Household,430235,0.31818181,0.15625,FLOOR RUG STATE SIZE & MATERIA
34.5,Household,430236,0.29223743,0.13698629999999998,CURTAINS READY MADE SP'FY SIZE
399.98999,Household,430304,0.55491328,0.24277456,ELECTRIC COOKER
29.99,Household,430307,0.3079848,0.22053231,ELECTRIC KETTLE - 1.5-1.7L
29.99,Household,430317,0.27237353,0.21789883,ELECTRIC IRON
49.990002000000004,Other goods and services,430321,0.30379745,0.36075949999999996,ELECTRIC RAZOR
34.990002000000004,Telphones and post,430323,0.45145631,0.097087376,PHONE NT MOBILE(SPEC DIG/ANAL)
20.0,Other goods and services,430351,0.40239045,0.095617533,ELECTRIC HAIR STYLING APP
119.0,Household,430355,0.33976835,0.28185329,VACUUM CLEANER
328.20502,Household,430356,0.52654868,0.1460177,DISH WASHER 12-15 PLACE SET
20.0,Household,430359,0.75599998,0.064000003,ELECTRIC COOLING FAN -SEASONAL
384.0,Household,430361,0.62030077,0.29699248,WASHING MACH NO DRYER MAX 1800
379.0,Household,430362,0.65134102,0.16475096,FRIDGE/FREEZER SPEC CAPACITIES
30.0,Household,430363,0.26354679,0.26847291,ELECTRIC TOOTHBRUSH
5.9899998,Household,430407,0.53293413,0.11377245,"SMALL SAUCEPAN,MILK"
2.0,Household,430409,0.44571429,0.13142857,SCISSORS - HOUSEHOLD
561.7999900000001,Household,430413,0.45714286,0.12857144,GAS FIRE
359.0,Household,430414,0.5625,0.2361111,GAS COOKERS-SPECIFY MAKE & MOD
3.0,Household,430418,0.5219512,0.11219512,PLASTIC FOOD STORAGE CONTAINER
