year,gdpPercap,country,region
1952,973,Papua New Guinea,Asia
1952,2870,Paraguay,Americas
1952,4710,Peru,Americas
1952,2070,Philippines,Asia
1952,4870,Poland,Europe
1952,3990,Portugal,Europe
1952,2450,Qatar,Asia
1952,4210,Romania,Europe
1952,8020,Russia,Europe
1952,553,Rwanda,Africa
1952,3050,Samoa,Asia
1952,1160,Sao Tome and Principe,Africa
1952,3110,Saudi Arabia,Asia
1952,1810,Senegal,Africa
1952,4220,Serbia,Europe
1952,5200,Seychelles,Africa
1952,1090,Sierra Leone,Africa
1952,3310,Singapore,Asia
1952,6200,Slovak Republic,Europe
1952,4830,Slovenia,Europe
1952,973,Solomon Islands,Asia
1952,1050,Somalia,Africa
1952,7190,South Africa,Africa
1952,794,South Korea,Asia
1952,1980,South Sudan,Africa
1952,4660,Spain,Europe
1952,1920,Sri Lanka,Asia
1952,1630,St. Lucia,Americas
1952,2280,St. Vincent and the Grenadines,Americas
1952,1880,Sudan,Africa
1952,5780,Suriname,Americas
1952,1510,Swaziland,Africa
1952,12100,Sweden,Europe
1952,21600,Switzerland,Europe
1952,2070,Syria,Asia
1952,2540,Tajikistan,Asia
1952,1040,Tanzania,Africa
1952,1260,Thailand,Asia
1952,707,Timor-Leste,Asia
1952,1070,Togo,Africa
1952,1410,Tonga,Asia
1952,5050,Trinidad and Tobago,Americas
1952,1930,Tunisia,Africa
1952,4090,Turkey,Europe
1952,5190,Turkmenistan,Asia
1952,808,Uganda,Africa
1952,4110,Ukraine,Europe
1952,1220,United Arab Emirates,Asia
1952,11400,United Kingdom,Europe
1952,16500,United States,Americas
1952,8500,Uruguay,Americas
1952,1780,Uzbekistan,Asia
1952,1330,Vanuatu,Asia
1952,11500,Venezuela,Americas
1952,1010,Vietnam,Asia
1952,1360,Yemen,Asia
1952,2780,Zambia,Africa
1952,1560,Zimbabwe,Africa
1957,1140,Afghanistan,Asia
1957,2440,Albania,Europe
1957,5200,Algeria,Africa
1957,12100,Andorra,Europe
1957,3670,Angola,Africa
1957,4110,Antigua and Barbuda,Americas
1957,8910,Argentina,Americas
1957,2300,Armenia,Europe
1957,13200,Australia,Asia
1957,10600,Austria,Europe
1957,4600,Azerbaijan,Europe
1957,13300,Bahamas,Americas
1957,21000,Bahrain,Asia
1957,1020,Bangladesh,Asia
1957,4300,Barbados,Americas
1957,3590,Belarus,Europe
1957,12200,Belgium,Europe
1957,1960,Belize,Americas
1957,1140,Benin,Africa
1957,919,Bhutan,Asia
1957,2700,Bolivia,Americas
1957,1510,Bosnia and Herzegovina,Europe
1957,935,Botswana,Africa
1957,3670,Brazil,Americas
1957,63700,Brunei,Asia
1957,3890,Bulgaria,Europe
1957,619,Burkina Faso,Africa
1957,613,Burundi,Africa
1957,1370,Cambodia,Asia
1957,1740,Cameroon,Africa
1957,14200,Canada,Americas
1957,760,Cape Verde,Africa
1957,1390,Central African Republic,Africa
1957,1430,Chad,Africa
1957,5940,Chile,Americas
1957,782,China,Asia
1957,3400,Colombia,Americas
1957,931,Comoros,Africa
1957,2190,"Congo, Dem. Rep.",Africa
1957,2070,"Congo, Rep.",Africa
1957,3760,Costa Rica,Americas
1957,2300,Cote d'Ivoire,Africa
1957,6350,Croatia,Europe
1957,10900,Cuba,Americas
1957,4900,Cyprus,Europe
1957,10100,Czech Republic,Europe
1957,13900,Denmark,Europe
1957,3540,Djibouti,Africa
1957,2340,Dominica,Americas
1957,2620,Dominican Republic,Americas
1957,4130,Ecuador,Americas
1957,1760,Egypt,Africa
1957,3970,El Salvador,Americas
1957,573,Equatorial Guinea,Africa
1957,871,Eritrea,Africa
1957,6500,Estonia,Europe
1957,622,Ethiopia,Africa
1957,3310,Fiji,Asia
1957,9350,Finland,Europe
1957,10500,France,Europe
1957,1140,Gabon,Africa
1957,1120,Gambia,Africa
1957,2960,Georgia,Europe
1957,12300,Germany,Europe
1957,1940,Ghana,Africa
1957,5600,Greece,Europe
1957,1940,Grenada,Americas
1957,3220,Guatemala,Americas
1957,743,Guinea,Africa
1957,1190,Guinea-Bissau,Africa
1957,3360,Guyana,Americas
1957,2230,Haiti,Americas
1957,2480,Honduras,Americas
1957,7840,Hungary,Europe
1957,10400,Iceland,Europe
1957,953,India,Asia
1957,1800,Indonesia,Asia
1957,4380,Iran,Asia
1957,5120,Iraq,Asia
1957,7100,Ireland,Europe
1957,5980,Israel,Asia
1957,8880,Italy,Europe
1957,5020,Jamaica,Americas
1957,3900,Japan,Asia
1957,3670,Jordan,Asia
1957,7660,Kazakhstan,Asia
1957,1960,Kenya,Africa
1957,2560,Kiribati,Asia
1957,14200,Kuwait,Asia
1957,2620,Kyrgyz Republic,Asia
1957,1210,Lao,Asia
1957,4990,Latvia,Europe
1957,9750,Lebanon,Asia
1957,519,Lesotho,Africa
1957,1690,Liberia,Africa
1957,8470,Libya,Africa
1957,8240,Lithuania,Europe
1957,21700,Luxembourg,Europe
1957,3330,"Macedonia, FYR",Europe
1957,2210,Madagascar,Africa
1957,501,Malawi,Africa
1957,2840,Malaysia,Asia
1957,1020,Maldives,Asia
1957,794,Mali,Africa
1957,2710,Malta,Europe
1957,1590,Marshall Islands,Asia
1957,1480,Mauritania,Africa
1957,2580,Mauritius,Africa
1957,5570,Mexico,Americas
1957,1340,"Micronesia, Fed. Sts.",Asia
1957,3380,Moldova,Europe
1957,1090,Mongolia,Asia
1957,5420,Montenegro,Europe
1957,2070,Morocco,Africa
1957,445,Mozambique,Africa
1957,758,Myanmar,Asia
1957,4230,Namibia,Africa
1957,899,Nepal,Asia
1957,12100,Netherlands,Europe
1957,15500,New Zealand,Asia
1957,4560,Nicaragua,Americas
1957,1100,Niger,Africa
1957,2980,Nigeria,Africa
1957,1320,North Korea,Asia
1957,14300,Norway,Europe
1957,4100,Oman,Asia
1957,1210,Pakistan,Asia
1957,1180,Palestine,Asia
1957,3860,Panama,Americas
1957,1050,Papua New Guinea,Asia
1957,2990,Paraguay,Americas
1957,5170,Peru,Americas
1957,2530,Philippines,Asia
1957,5790,Poland,Europe
1957,4910,Portugal,Europe
1957,7740,Qatar,Asia
1957,5420,Romania,Europe
1957,9840,Russia,Europe
1957,607,Rwanda,Africa
1957,3230,Samoa,Asia
1957,1140,Sao Tome and Principe,Africa
1957,6550,Saudi Arabia,Asia
1957,1970,Senegal,Africa
1957,5800,Serbia,Europe
1957,5560,Seychelles,Africa
1957,1210,Sierra Leone,Africa
1957,4120,Singapore,Asia
1957,7450,Slovak Republic,Europe
1957,6740,Slovenia,Europe
1957,1060,Solomon Islands,Asia
1957,1170,Somalia,Africa
1957,7790,South Africa,Africa
1957,1200,South Korea,Asia
1957,2210,South Sudan,Africa
1957,5640,Spain,Europe
1957,1890,Sri Lanka,Asia
1957,2030,St. Lucia,Americas
1957,2670,St. Vincent and the Grenadines,Americas
1957,2070,Sudan,Africa
1957,6480,Suriname,Americas
1957,1660,Swaziland,Africa
1957,14000,Sweden,Europe
1957,26100,Switzerland,Europe
1957,2700,Syria,Asia
1957,3070,Tajikistan,Asia
1957,1040,Tanzania,Africa
1957,1300,Thailand,Asia
1957,714,Timor-Leste,Asia
1957,1140,Togo,Africa
1957,1490,Tonga,Asia
1957,6880,Trinidad and Tobago,Americas
1957,1870,Tunisia,Africa
1957,5120,Turkey,Europe
1957,6350,Turkmenistan,Asia
1957,860,Uganda,Africa
1957,5010,Ukraine,Europe
1957,1260,United Arab Emirates,Asia
1957,12800,United Kingdom,Europe
1957,17400,United States,Americas
1957,8780,Uruguay,Americas
1957,2150,Uzbekistan,Asia
1957,1420,Vanuatu,Asia
1957,14600,Venezuela,Americas
1957,1120,Vietnam,Asia
1957,1400,Yemen,Asia
1957,3220,Zambia,Africa
1957,1970,Zimbabwe,Africa
1962,1200,Afghanistan,Asia
1962,2910,Albania,Europe
1962,4520,Algeria,Africa
1962,17800,Andorra,Europe
1962,4130,Angola,Africa
1962,4640,Antigua and Barbuda,Americas
1962,9190,Argentina,Americas
1962,2640,Armenia,Europe
1962,14700,Australia,Asia
1962,12900,Austria,Europe
1962,5350,Azerbaijan,Europe
1962,16400,Bahamas,Americas
1962,23500,Bahrain,Asia
1962,1070,Bangladesh,Asia
1962,5830,Barbados,Americas
1962,4150,Belarus,Europe
1962,13700,Belgium,Europe
1962,2060,Belize,Americas
1962,1130,Benin,Africa
1962,972,Bhutan,Asia
1962,2770,Bolivia,Americas
1962,1790,Bosnia and Herzegovina,Europe
1962,1000,Botswana,Africa
1962,4830,Brazil,Americas
1962,69300,Brunei,Asia
1962,5490,Bulgaria,Europe
1962,717,Burkina Faso,Africa
1962,580,Burundi,Africa
1962,1570,Cambodia,Asia
1962,1870,Cameroon,Africa
1962,15300,Canada,Americas
1962,879,Cape Verde,Africa
1962,1380,Central African Republic,Africa
1962,1520,Chad,Africa
1962,6210,Chile,Americas
1962,569,China,Asia
1962,3590,Colombia,Americas
1962,1080,Comoros,Africa
1962,2170,"Congo, Dem. Rep.",Africa
1962,2400,"Congo, Rep.",Africa
1962,4380,Costa Rica,Americas
1962,2630,Cote d'Ivoire,Africa
1962,8020,Croatia,Europe
1962,9490,Cuba,Americas
1962,5980,Cyprus,Europe
1962,12400,Czech Republic,Europe
1962,17000,Denmark,Europe
1962,3740,Djibouti,Africa
1962,2470,Dominica,Americas
1962,2850,Dominican Republic,Americas
1962,4570,Ecuador,Americas
1962,2080,Egypt,Africa
1962,4340,El Salvador,Americas
1962,782,Equatorial Guinea,Africa
1962,948,Eritrea,Africa
1962,7580,Estonia,Europe
1962,678,Ethiopia,Africa
1962,3590,Fiji,Asia
1962,11600,Finland,Europe
1962,12800,France,Europe
1962,1880,Gabon,Africa
1962,1300,Gambia,Africa
1962,3440,Georgia,Europe
1962,15800,Germany,Europe
1962,2320,Ghana,Africa
1962,6840,Greece,Europe
1962,2170,Grenada,Americas
1962,3360,Guatemala,Americas
1962,891,Guinea,Africa
1962,1310,Guinea-Bissau,Africa
1962,3120,Guyana,Americas
1962,2320,Haiti,Americas
1962,2540,Honduras,Americas
1962,10000,Hungary,Europe
1962,11600,Iceland,Europe
1962,1040,India,Asia
1962,1790,Indonesia,Asia
1962,5710,Iran,Asia
1962,6710,Iraq,Asia
1962,8460,Ireland,Europe
1962,7910,Israel,Asia
1962,11600,Italy,Europe
1962,5550,Jamaica,Americas
1962,5790,Japan,Asia
1962,4560,Jordan,Asia
1962,8910,Kazakhstan,Asia
1962,1850,Kenya,Africa
1962,3020,Kiribati,Asia
1962,23700,Kuwait,Asia
1962,2890,Kyrgyz Republic,Asia
1962,1260,Lao,Asia
1962,5790,Latvia,Europe
1962,9570,Lebanon,Asia
1962,636,Lesotho,Africa
1962,1740,Liberia,Africa
1962,16600,Libya,Africa
1962,9530,Lithuania,Europe
1962,23300,Luxembourg,Europe
1962,4220,"Macedonia, FYR",Europe
1962,2290,Madagascar,Africa
1962,526,Malawi,Africa
1962,3230,Malaysia,Asia
1962,1140,Maldives,Asia
1962,815,Mali,Africa
1962,2720,Malta,Europe
1962,1780,Marshall Islands,Asia
1962,1890,Mauritania,Africa
1962,3240,Mauritius,Africa
1962,6210,Mexico,Americas
1962,1480,"Micronesia, Fed. Sts.",Asia
1962,3890,Moldova,Europe
1962,1290,Mongolia,Asia
1962,6920,Montenegro,Europe
1962,2000,Morocco,Africa
1962,496,Mozambique,Africa
1962,861,Myanmar,Asia
1962,5140,Namibia,Africa
1962,971,Nepal,Asia
1962,13700,Netherlands,Europe
1962,16700,New Zealand,Asia
1962,4770,Nicaragua,Americas
1962,1330,Niger,Africa
1962,3590,Nigeria,Africa
1962,1590,North Korea,Asia
1962,16700,Norway,Europe
1962,5420,Oman,Asia
1962,1310,Pakistan,Asia
1962,1110,Palestine,Asia
1962,4630,Panama,Americas
1962,1190,Papua New Guinea,Asia
1962,3130,Paraguay,Americas
1962,5900,Peru,Americas
1962,2710,Philippines,Asia
1962,6580,Poland,Europe
1962,6160,Portugal,Europe
1962,24500,Qatar,Asia
1962,6650,Romania,Europe
1962,11500,Russia,Europe
1962,673,Rwanda,Africa
1962,3420,Samoa,Asia
1962,1420,Sao Tome and Principe,Africa
1962,13800,Saudi Arabia,Asia
1962,2090,Senegal,Africa
1962,7220,Serbia,Europe
1962,5880,Seychelles,Africa
1962,1310,Sierra Leone,Africa
1962,5370,Singapore,Asia
1962,9150,Slovak Republic,Europe
1962,8520,Slovenia,Europe
1962,1150,Solomon Islands,Asia
1962,1270,Somalia,Africa
1962,8130,South Africa,Africa
1962,1150,South Korea,Asia
1962,2500,South Sudan,Africa
1962,7140,Spain,Europe
1962,1890,Sri Lanka,Asia
1962,2520,St. Lucia,Americas
1962,3080,St. Vincent and the Grenadines,Americas
1962,2320,Sudan,Africa
1962,7270,Suriname,Americas
1962,2510,Swaziland,Africa
1962,16600,Sweden,Europe
1962,29600,Switzerland,Europe
1962,2930,Syria,Asia
1962,3530,Tajikistan,Asia
1962,1100,Tanzania,Africa
1962,1640,Thailand,Asia
1962,722,Timor-Leste,Asia
1962,1300,Togo,Africa
1962,1580,Tonga,Asia
1962,8420,Trinidad and Tobago,Americas
1962,2250,Tunisia,Africa
1962,5050,Turkey,Europe
1962,7380,Turkmenistan,Asia
1962,861,Uganda,Africa
1962,5810,Ukraine,Europe
1962,2220,United Arab Emirates,Asia
1962,14000,United Kingdom,Europe
1962,19000,United States,Americas
1962,7730,Uruguay,Americas
1962,2480,Uzbekistan,Asia
1962,1510,Vanuatu,Asia
1962,12500,Venezuela,Americas
1962,1270,Vietnam,Asia
1962,1430,Yemen,Asia
1962,2970,Zambia,Africa
1962,2030,Zimbabwe,Africa
1967,1180,Afghanistan,Asia
1967,3460,Albania,Europe
1967,5860,Algeria,Africa
1967,26300,Andorra,Europe
1967,5390,Angola,Africa
1967,5230,Antigua and Barbuda,Americas
1967,10400,Argentina,Americas
1967,3150,Armenia,Europe
1967,17600,Australia,Asia
1967,15300,Austria,Europe
1967,6460,Azerbaijan,Europe
1967,21000,Bahamas,Americas
1967,27800,Bahrain,Asia
1967,1130,Bangladesh,Asia
1967,7340,Barbados,Americas
1967,4980,Belarus,Europe
1967,16200,Belgium,Europe
1967,2250,Belize,Americas
1967,1250,Benin,Africa
1967,1030,Bhutan,Asia
1967,3290,Bolivia,Americas
1967,2140,Bosnia and Herzegovina,Europe
1967,1240,Botswana,Africa
1967,4890,Brazil,Americas
1967,75400,Brunei,Asia
1967,7200,Bulgaria,Europe
1967,781,Burkina Faso,Africa
1967,681,Burundi,Africa
1967,1660,Cambodia,Asia
1967,2030,Cameroon,Africa
1967,18300,Canada,Americas
1967,938,Cape Verde,Africa
1967,1300,Central African Republic,Africa
1967,1310,Chad,Africa
1967,7010,Chile,Americas
1967,722,China,Asia
1967,3820,Colombia,Americas
1967,1530,Comoros,Africa
1967,2010,"Congo, Dem. Rep.",Africa
1967,2600,"Congo, Rep.",Africa
1967,5310,Costa Rica,Americas
1967,3230,Cote d'Ivoire,Africa
1967,10200,Croatia,Europe
1967,10600,Cuba,Americas
1967,7290,Cyprus,Europe
1967,13900,Czech Republic,Europe
1967,20000,Denmark,Europe
1967,3740,Djibouti,Africa
1967,2620,Dominica,Americas
1967,2860,Dominican Republic,Americas
1967,5200,Ecuador,Americas
1967,2350,Egypt,Africa
1967,4960,El Salvador,Americas
1967,1230,Equatorial Guinea,Africa
1967,1090,Eritrea,Africa
1967,9150,Estonia,Europe
1967,777,Ethiopia,Africa
1967,3830,Fiji,Asia
1967,13600,Finland,Europe
1967,15800,France,Europe
1967,3240,Gabon,Africa
1967,1600,Gambia,Africa
1967,4340,Georgia,Europe
1967,18200,Germany,Europe
1967,2210,Ghana,Africa
1967,9690,Greece,Europe
1967,2430,Grenada,Americas
1967,3940,Guatemala,Americas
1967,927,Guinea,Africa
1967,1640,Guinea-Bissau,Africa
1967,3300,Guyana,Americas
1967,1870,Haiti,Americas
1967,2790,Honduras,Americas
1967,12600,Hungary,Europe
1967,14900,Iceland,Europe
1967,1090,India,Asia
1967,1620,Indonesia,Asia
1967,8240,Iran,Asia
1967,7020,Iraq,Asia
1967,9830,Ireland,Europe
1967,9380,Israel,Asia
1967,14100,Italy,Europe
1967,6460,Jamaica,Americas
1967,8630,Japan,Asia
1967,5290,Jordan,Asia
1967,10700,Kazakhstan,Asia
1967,2140,Kenya,Africa
1967,3560,Kiribati,Asia
1967,39400,Kuwait,Asia
1967,3190,Kyrgyz Republic,Asia
1967,1310,Lao,Asia
1967,6950,Latvia,Europe
1967,10500,Lebanon,Asia
1967,798,Lesotho,Africa
1967,1960,Liberia,Africa
1967,46000,Libya,Africa
1967,11400,Lithuania,Europe
1967,25400,Luxembourg,Europe
1967,5370,"Macedonia, FYR",Europe
1967,2290,Madagascar,Africa
1967,621,Malawi,Africa
1967,3650,Malaysia,Asia
1967,1280,Maldives,Asia
1967,909,Mali,Africa
1967,3480,Malta,Europe
1967,2000,Marshall Islands,Asia
1967,2600,Mauritania,Africa
1967,3190,Mauritius,Africa
1967,7840,Mexico,Americas
1967,1640,"Micronesia, Fed. Sts.",Asia
1967,4660,Moldova,Europe
1967,1530,Mongolia,Asia
1967,8900,Montenegro,Europe
1967,2200,Morocco,Africa
1967,501,Mozambique,Africa
1967,790,Myanmar,Asia
1967,6170,Namibia,Africa
1967,998,Nepal,Asia
1967,16700,Netherlands,Europe
1967,18400,New Zealand,Asia
1967,6070,Nicaragua,Americas
1967,1420,Niger,Africa
1967,2670,Nigeria,Africa
1967,1650,North Korea,Asia
1967,20500,Norway,Europe
1967,8880,Oman,Asia
1967,1540,Pakistan,Asia
1967,1040,Palestine,Asia
1967,5810,Panama,Americas
1967,1480,Papua New Guinea,Asia
1967,3330,Paraguay,Americas
1967,6760,Peru,Americas
1967,2990,Philippines,Asia
1967,8150,Poland,Europe
1967,8290,Portugal,Europe
1967,77500,Qatar,Asia
1967,9210,Romania,Europe
1967,13900,Russia,Europe
1967,577,Rwanda,Africa
1967,3620,Samoa,Asia
1967,1850,Sao Tome and Principe,Africa
1967,29100,Saudi Arabia,Asia
1967,2040,Senegal,Africa
1967,9040,Serbia,Europe
1967,6080,Seychelles,Africa
1967,1370,Sierra Leone,Africa
1967,7330,Singapore,Asia
1967,10300,Slovak Republic,Europe
1967,10800,Slovenia,Europe
1967,1250,Solomon Islands,Asia
1967,1200,Somalia,Africa
1967,9410,South Africa,Africa
1967,1580,South Korea,Asia
1967,2190,South Sudan,Africa
1967,10100,Spain,Europe
1967,1990,Sri Lanka,Asia
1967,3140,St. Lucia,Americas
1967,2570,St. Vincent and the Grenadines,Americas
1967,2010,Sudan,Africa
1967,8160,Suriname,Americas
1967,3580,Swaziland,Africa
1967,19700,Sweden,Europe
1967,33100,Switzerland,Europe
1967,2580,Syria,Asia
1967,4210,Tajikistan,Asia
1967,1330,Tanzania,Africa
1967,2100,Thailand,Asia
1967,729,Timor-Leste,Asia
1967,1790,Togo,Africa
1967,1660,Tonga,Asia
1967,9510,Trinidad and Tobago,Americas
1967,2650,Tunisia,Africa
1967,6300,Turkey,Europe
1967,8890,Turkmenistan,Asia
1967,1030,Uganda,Africa
1967,6970,Ukraine,Europe
1967,24100,United Arab Emirates,Asia
1967,15900,United Kingdom,Europe
1967,22800,United States,Americas
1967,7320,Uruguay,Americas
1967,2980,Uzbekistan,Asia
1967,1610,Vanuatu,Asia
1967,14200,Venezuela,Americas
1967,1050,Vietnam,Asia
1967,1500,Yemen,Asia
1967,4320,Zambia,Africa
1967,1960,Zimbabwe,Africa
1972,1050,Afghanistan,Asia
1972,4120,Albania,Europe
1972,7620,Algeria,Africa
1972,34000,Andorra,Europe
1972,5670,Angola,Africa
1972,6160,Antigua and Barbuda,Americas
1972,12200,Argentina,Americas
1972,3580,Armenia,Europe
1972,20400,Australia,Asia
1972,19800,Austria,Europe
1972,7400,Azerbaijan,Europe
1972,19900,Bahamas,Americas
1972,34000,Bahrain,Asia
1972,994,Bangladesh,Asia
1972,9310,Barbados,Americas
1972,5660,Belarus,Europe
1972,20500,Belgium,Europe
1972,2800,Belize,Americas
1972,1320,Benin,Africa
1972,1030,Bhutan,Asia
1972,3800,Bolivia,Americas
1972,2650,Bosnia and Herzegovina,Europe
1972,2320,Botswana,Africa
1972,7090,Brazil,Americas
1972,88700,Brunei,Asia
1972,8510,Bulgaria,Europe
1972,830,Burkina Faso,Africa
1972,773,Burundi,Africa
1972,1450,Cambodia,Asia
1972,2290,Cameroon,Africa
1972,21600,Canada,Americas
1972,820,Cape Verde,Africa
1972,1220,Central African Republic,Africa
1972,1220,Chad,Africa
1972,7550,Chile,Americas
1972,846,China,Asia
1972,4630,Colombia,Americas
1972,1460,Comoros,Africa
1972,2160,"Congo, Dem. Rep.",Africa
1972,3520,"Congo, Rep.",Africa
1972,6580,Costa Rica,Americas
1972,3940,Cote d'Ivoire,Africa
1972,13400,Croatia,Europe
1972,10000,Cuba,Americas
1972,9930,Cyprus,Europe
1972,16000,Czech Republic,Europe
1972,23800,Denmark,Europe
1972,4590,Djibouti,Africa
1972,3070,Dominica,Americas
1972,3810,Dominican Republic,Americas
1972,6000,Ecuador,Americas
1972,3100,Egypt,Africa
1972,5090,El Salvador,Americas
1972,899,Equatorial Guinea,Africa
1972,1120,Eritrea,Africa
1972,10500,Estonia,Europe
1972,803,Ethiopia,Africa
1972,4960,Fiji,Asia
1972,17900,Finland,Europe
1972,19600,France,Europe
1972,6220,Gabon,Africa
1972,1660,Gambia,Africa
1972,5410,Georgia,Europe
1972,22400,Germany,Europe
1972,2400,Ghana,Africa
1972,14600,Greece,Europe
1972,3000,Grenada,Americas
1972,4860,Guatemala,Americas
1972,976,Guinea,Africa
1972,1780,Guinea-Bissau,Africa
1972,3480,Guyana,Americas
1972,2140,Haiti,Americas
1972,2760,Honduras,Americas
1972,13800,Hungary,Europe
1972,17600,Iceland,Europe
1972,1110,India,Asia
1972,2380,Indonesia,Asia
1972,13700,Iran,Asia
1972,7500,Iraq,Asia
1972,12300,Ireland,Europe
1972,14300,Israel,Asia
1972,17300,Italy,Europe
1972,7780,Jamaica,Americas
1972,16100,Japan,Asia
1972,4040,Jordan,Asia
1972,12200,Kazakhstan,Asia
1972,2030,Kenya,Africa
1972,4160,Kiribati,Asia
1972,61700,Kuwait,Asia
1972,3510,Kyrgyz Republic,Asia
1972,1360,Lao,Asia
1972,7920,Latvia,Europe
1972,14400,Lebanon,Asia
1972,803,Lesotho,Africa
1972,2220,Liberia,Africa
1972,51400,Libya,Africa
1972,13000,Lithuania,Europe
1972,31800,Luxembourg,Europe
1972,7100,"Macedonia, FYR",Europe
1972,2460,Madagascar,Africa
1972,748,Malawi,Africa
1972,4600,Malaysia,Asia
1972,1410,Maldives,Asia
1972,983,Mali,Africa
1972,4980,Malta,Europe
1972,2240,Marshall Islands,Asia
1972,2960,Mauritania,Africa
1972,3350,Mauritius,Africa
1972,9310,Mexico,Americas
1972,1770,"Micronesia, Fed. Sts.",Asia
1972,5280,Moldova,Europe
1972,1750,Mongolia,Asia
1972,11800,Montenegro,Europe
1972,2500,Morocco,Africa
1972,637,Mozambique,Africa
1972,814,Myanmar,Asia
1972,6110,Namibia,Africa
1972,985,Nepal,Asia
1972,20800,Netherlands,Europe
1972,20400,New Zealand,Asia
1972,6100,Nicaragua,Americas
1972,1290,Niger,Africa
1972,3940,Nigeria,Africa
1972,1730,North Korea,Asia
1972,24100,Norway,Europe
1972,20300,Oman,Asia
1972,1730,Pakistan,Asia
1972,1460,Palestine,Asia
1972,7080,Panama,Americas
1972,1850,Papua New Guinea,Asia
1972,3640,Paraguay,Americas
1972,6880,Peru,Americas
1972,3300,Philippines,Asia
1972,9990,Poland,Europe
1972,11800,Portugal,Europe
1972,159000,Qatar,Asia
1972,11400,Romania,Europe
1972,15900,Russia,Europe
