Value,Date,series
0.08,2004-10-15,Education
0.39,2004-10-15,RestaurantsHotels
0.32,2004-10-15,Misc
-0.07,2004-09-15,Food
0.1,2004-09-15,AlcoholTobacco
-0.37,2004-09-15,ClothingFootwear
0.39,2004-09-15,HousingHouseService
-0.04,2004-09-15,FurnitureHousehold
0.03,2004-09-15,Health
0.5,2004-09-15,Transport
-0.07,2004-09-15,Communication
-0.16,2004-09-15,RecreationCulture
0.08,2004-09-15,Education
0.37,2004-09-15,RestaurantsHotels
0.32,2004-09-15,Misc
0.11,2005-04-15,Food
0.1,2005-04-15,AlcoholTobacco
-0.34,2005-04-15,ClothingFootwear
0.67,2005-04-15,HousingHouseService
-0.04,2005-04-15,FurnitureHousehold
0.06,2005-04-15,Health
0.57,2005-04-15,Transport
-0.09,2005-04-15,Communication
-0.09,2005-04-15,RecreationCulture
0.08,2005-04-15,Education
0.45,2005-04-15,RestaurantsHotels
0.46,2005-04-15,Misc
0.23,2005-08-15,Food
0.08,2005-08-15,AlcoholTobacco
-0.29,2005-08-15,ClothingFootwear
0.66,2005-08-15,HousingHouseService
0.05,2005-08-15,FurnitureHousehold
0.09,2005-08-15,Health
0.83,2005-08-15,Transport
-0.05,2005-08-15,Communication
-0.3,2005-08-15,RecreationCulture
0.08,2005-08-15,Education
0.49,2005-08-15,RestaurantsHotels
0.55,2005-08-15,Misc
0.18,2005-12-15,Food
0.12,2005-12-15,AlcoholTobacco
-0.27,2005-12-15,ClothingFootwear
0.67,2005-12-15,HousingHouseService
0.01,2005-12-15,FurnitureHousehold
0.06,2005-12-15,Health
0.42,2005-12-15,Transport
-0.03,2005-12-15,Communication
-0.26,2005-12-15,RecreationCulture
0.08,2005-12-15,Education
0.48,2005-12-15,RestaurantsHotels
0.46,2005-12-15,Misc
0.09,2005-02-15,Food
0.13,2005-02-15,AlcoholTobacco
-0.37,2005-02-15,ClothingFootwear
0.6,2005-02-15,HousingHouseService
-0.05,2005-02-15,FurnitureHousehold
0.06,2005-02-15,Health
0.5,2005-02-15,Transport
-0.07,2005-02-15,Communication
-0.11,2005-02-15,RecreationCulture
0.08,2005-02-15,Education
0.42,2005-02-15,RestaurantsHotels
0.37,2005-02-15,Misc
0.04,2005-01-15,Food
0.11,2005-01-15,AlcoholTobacco
-0.38,2005-01-15,ClothingFootwear
0.6,2005-01-15,HousingHouseService
0.01,2005-01-15,FurnitureHousehold
0.06,2005-01-15,Health
0.43,2005-01-15,Transport
-0.06,2005-01-15,Communication
-0.06,2005-01-15,RecreationCulture
0.08,2005-01-15,Education
0.4,2005-01-15,RestaurantsHotels
0.39,2005-01-15,Misc
0.18,2005-07-15,Food
0.1,2005-07-15,AlcoholTobacco
-0.32,2005-07-15,ClothingFootwear
0.69,2005-07-15,HousingHouseService
0.08,2005-07-15,FurnitureHousehold
0.08,2005-07-15,Health
0.7,2005-07-15,Transport
-0.07,2005-07-15,Communication
-0.23,2005-07-15,RecreationCulture
0.08,2005-07-15,Education
0.48,2005-07-15,RestaurantsHotels
0.56,2005-07-15,Misc
0.23,2005-06-15,Food
0.11,2005-06-15,AlcoholTobacco
-0.3,2005-06-15,ClothingFootwear
0.66,2005-06-15,HousingHouseService
-0.02,2005-06-15,FurnitureHousehold
0.06,2005-06-15,Health
0.51,2005-06-15,Transport
-0.08,2005-06-15,Communication
-0.18,2005-06-15,RecreationCulture
0.08,2005-06-15,Education
0.44,2005-06-15,RestaurantsHotels
0.49,2005-06-15,Misc
0.18,2005-03-15,Food
0.1,2005-03-15,AlcoholTobacco
-0.33,2005-03-15,ClothingFootwear
0.6,2005-03-15,HousingHouseService
0.03,2005-03-15,FurnitureHousehold
0.06,2005-03-15,Health
0.61,2005-03-15,Transport
-0.08,2005-03-15,Communication
-0.11,2005-03-15,RecreationCulture
0.08,2005-03-15,Education
0.39,2005-03-15,RestaurantsHotels
0.39,2005-03-15,Misc
0.15,2005-05-15,Food
0.11,2005-05-15,AlcoholTobacco
-0.35,2005-05-15,ClothingFootwear
0.66,2005-05-15,HousingHouseService
-0.05,2005-05-15,FurnitureHousehold
0.07,2005-05-15,Health
0.51,2005-05-15,Transport
-0.09,2005-05-15,Communication
-0.08,2005-05-15,RecreationCulture
0.08,2005-05-15,Education
0.46,2005-05-15,RestaurantsHotels
0.46,2005-05-15,Misc
0.18,2005-11-15,Food
0.12,2005-11-15,AlcoholTobacco
-0.33,2005-11-15,ClothingFootwear
0.68,2005-11-15,HousingHouseService
0.03,2005-11-15,FurnitureHousehold
0.07,2005-11-15,Health
0.62,2005-11-15,Transport
-0.03,2005-11-15,Communication
-0.23,2005-11-15,RecreationCulture
0.08,2005-11-15,Education
0.48,2005-11-15,RestaurantsHotels
0.47,2005-11-15,Misc
0.16,2005-10-15,Food
0.09,2005-10-15,AlcoholTobacco
-0.34,2005-10-15,ClothingFootwear
0.68,2005-10-15,HousingHouseService
0.03,2005-10-15,FurnitureHousehold
0.07,2005-10-15,Health
0.87,2005-10-15,Transport
-0.04,2005-10-15,Communication
-0.23,2005-10-15,RecreationCulture
0.08,2005-10-15,Education
0.52,2005-10-15,RestaurantsHotels
0.46,2005-10-15,Misc
0.2,2005-09-15,Food
0.07,2005-09-15,AlcoholTobacco
-0.34,2005-09-15,ClothingFootwear
0.67,2005-09-15,HousingHouseService
0.02,2005-09-15,FurnitureHousehold
0.07,2005-09-15,Health
0.9,2005-09-15,Transport
-0.03,2005-09-15,Communication
-0.24,2005-09-15,RecreationCulture
0.08,2005-09-15,Education
0.52,2005-09-15,RestaurantsHotels
0.55,2005-09-15,Misc
0.04,2006-04-15,Food
0.11,2006-04-15,AlcoholTobacco
-0.29,2006-04-15,ClothingFootwear
0.81,2006-04-15,HousingHouseService
-0.08,2006-04-15,FurnitureHousehold
0.07,2006-04-15,Health
0.67,2006-04-15,Transport
0.01,2006-04-15,Communication
-0.24,2006-04-15,RecreationCulture
0.08,2006-04-15,Education
0.41,2006-04-15,RestaurantsHotels
0.44,2006-04-15,Misc
0.35,2006-08-15,Food
0.14,2006-08-15,AlcoholTobacco
-0.26,2006-08-15,ClothingFootwear
1.11,2006-08-15,HousingHouseService
-0.06,2006-08-15,FurnitureHousehold
0.06,2006-08-15,Health
0.39,2006-08-15,Transport
-0.02,2006-08-15,Communication
-0.14,2006-08-15,RecreationCulture
0.08,2006-08-15,Education
0.41,2006-08-15,RestaurantsHotels
0.41,2006-08-15,Misc
0.47,2006-12-15,Food
0.12,2006-12-15,AlcoholTobacco
-0.27,2006-12-15,ClothingFootwear
1.22,2006-12-15,HousingHouseService
0.06,2006-12-15,FurnitureHousehold
0.09,2006-12-15,Health
0.32,2006-12-15,Transport
0.01,2006-12-15,Communication
-0.05,2006-12-15,RecreationCulture
0.24,2006-12-15,Education
0.43,2006-12-15,RestaurantsHotels
0.34,2006-12-15,Misc
0.12,2006-02-15,Food
0.07,2006-02-15,AlcoholTobacco
-0.31,2006-02-15,ClothingFootwear
0.67,2006-02-15,HousingHouseService
-0.06,2006-02-15,FurnitureHousehold
0.06,2006-02-15,Health
0.64,2006-02-15,Transport
0.01,2006-02-15,Communication
-0.12,2006-02-15,RecreationCulture
0.08,2006-02-15,Education
0.49,2006-02-15,RestaurantsHotels
0.4,2006-02-15,Misc
0.13,2006-01-15,Food
0.1,2006-01-15,AlcoholTobacco
-0.31,2006-01-15,ClothingFootwear
0.66,2006-01-15,HousingHouseService
-0.08,2006-01-15,FurnitureHousehold
0.06,2006-01-15,Health
0.75,2006-01-15,Transport
0.01,2006-01-15,Communication
-0.31,2006-01-15,RecreationCulture
0.08,2006-01-15,Education
0.48,2006-01-15,RestaurantsHotels
0.39,2006-01-15,Misc
0.33,2006-07-15,Food
0.12,2006-07-15,AlcoholTobacco
-0.31,2006-07-15,ClothingFootwear
1.06,2006-07-15,HousingHouseService
-0.12,2006-07-15,FurnitureHousehold
0.06,2006-07-15,Health
0.53,2006-07-15,Transport
0.01,2006-07-15,Communication
-0.2,2006-07-15,RecreationCulture
0.08,2006-07-15,Education
0.43,2006-07-15,RestaurantsHotels
0.39,2006-07-15,Misc
0.19,2006-06-15,Food
0.14,2006-06-15,AlcoholTobacco
-0.26,2006-06-15,ClothingFootwear
1.03,2006-06-15,HousingHouseService
-0.02,2006-06-15,FurnitureHousehold
0.07,2006-06-15,Health
0.59,2006-06-15,Transport
-0.01,2006-06-15,Communication
-0.24,2006-06-15,RecreationCulture
0.08,2006-06-15,Education
0.44,2006-06-15,RestaurantsHotels
0.47,2006-06-15,Misc
-0.04,2006-03-15,Food
0.11,2006-03-15,AlcoholTobacco
-0.31,2006-03-15,ClothingFootwear
0.73,2006-03-15,HousingHouseService
-0.04,2006-03-15,FurnitureHousehold
0.05,2006-03-15,Health
0.53,2006-03-15,Transport
0.01,2006-03-15,Communication
-0.2,2006-03-15,RecreationCulture
0.08,2006-03-15,Education
0.49,2006-03-15,RestaurantsHotels
0.4,2006-03-15,Misc
0.12,2006-05-15,Food
0.1,2006-05-15,AlcoholTobacco
-0.24,2006-05-15,ClothingFootwear
0.95,2006-05-15,HousingHouseService
-0.07,2006-05-15,FurnitureHousehold
0.07,2006-05-15,Health
0.6,2006-05-15,Transport
-0.01,2006-05-15,Communication
-0.23,2006-05-15,RecreationCulture
0.08,2006-05-15,Education
0.44,2006-05-15,RestaurantsHotels
0.44,2006-05-15,Misc
0.51,2006-11-15,Food
0.12,2006-11-15,AlcoholTobacco
-0.21,2006-11-15,ClothingFootwear
1.19,2006-11-15,HousingHouseService
-0.05,2006-11-15,FurnitureHousehold
0.07,2006-11-15,Health
0.12,2006-11-15,Transport
0.02,2006-11-15,Communication
-0.11,2006-11-15,RecreationCulture
0.24,2006-11-15,Education
0.43,2006-11-15,RestaurantsHotels
0.37,2006-11-15,Misc
0.48,2006-10-15,Food
0.14,2006-10-15,AlcoholTobacco
-0.21,2006-10-15,ClothingFootwear
1.15,2006-10-15,HousingHouseService
-0.05,2006-10-15,FurnitureHousehold
0.07,2006-10-15,Health
-0.07,2006-10-15,Transport
0.02,2006-10-15,Communication
-0.16,2006-10-15,RecreationCulture
0.24,2006-10-15,Education
0.41,2006-10-15,RestaurantsHotels
0.4,2006-10-15,Misc
0.4,2006-09-15,Food
0.15,2006-09-15,AlcoholTobacco
-0.23,2006-09-15,ClothingFootwear
1.13,2006-09-15,HousingHouseService
0.02,2006-09-15,FurnitureHousehold
0.07,2006-09-15,Health
0.11,2006-09-15,Transport
0.0,2006-09-15,Communication
-0.15,2006-09-15,RecreationCulture
0.12,2006-09-15,Education
0.39,2006-09-15,RestaurantsHotels
0.42,2006-09-15,Misc
0.61,2007-04-15,Food
0.2,2007-04-15,AlcoholTobacco
-0.18,2007-04-15,ClothingFootwear
0.87,2007-04-15,HousingHouseService
0.19,2007-04-15,FurnitureHousehold
0.08,2007-04-15,Health
0.23,2007-04-15,Transport
-0.09,2007-04-15,Communication
-0.13,2007-04-15,RecreationCulture
0.24,2007-04-15,Education
0.51,2007-04-15,RestaurantsHotels
0.25,2007-04-15,Misc
0.3,2007-08-15,Food
0.14,2007-08-15,AlcoholTobacco
-0.22,2007-08-15,ClothingFootwear
0.31,2007-08-15,HousingHouseService
0.11,2007-08-15,FurnitureHousehold
0.08,2007-08-15,Health
0.42,2007-08-15,Transport
-0.05,2007-08-15,Communication
-0.15,2007-08-15,RecreationCulture
0.23,2007-08-15,Education
0.49,2007-08-15,RestaurantsHotels
0.11,2007-08-15,Misc
0.56,2007-12-15,Food
0.11,2007-12-15,AlcoholTobacco
-0.24,2007-12-15,ClothingFootwear
0.02,2007-12-15,HousingHouseService
0.08,2007-12-15,FurnitureHousehold
0.08,2007-12-15,Health
0.88,2007-12-15,Transport
-0.09,2007-12-15,Communication
-0.2,2007-12-15,RecreationCulture
0.24,2007-12-15,Education
0.47,2007-12-15,RestaurantsHotels
0.19,2007-12-15,Misc
0.45,2007-02-15,Food
0.18,2007-02-15,AlcoholTobacco
-0.27,2007-02-15,ClothingFootwear
1.2,2007-02-15,HousingHouseService
0.11,2007-02-15,FurnitureHousehold
0.09,2007-02-15,Health
0.21,2007-02-15,Transport
-0.07,2007-02-15,Communication
-0.16,2007-02-15,RecreationCulture
0.24,2007-02-15,Education
0.44,2007-02-15,RestaurantsHotels
0.38,2007-02-15,Misc
0.4,2007-01-15,Food
0.15,2007-01-15,AlcoholTobacco
-0.27,2007-01-15,ClothingFootwear
1.21,2007-01-15,HousingHouseService
0.07,2007-01-15,FurnitureHousehold
0.09,2007-01-15,Health
0.14,2007-01-15,Transport
-0.05,2007-01-15,Communication
-0.06,2007-01-15,RecreationCulture
0.24,2007-01-15,Education
0.45,2007-01-15,RestaurantsHotels
0.33,2007-01-15,Misc
0.29,2007-07-15,Food
0.15,2007-07-15,AlcoholTobacco
-0.16,2007-07-15,ClothingFootwear
0.4,2007-07-15,HousingHouseService
0.15,2007-07-15,FurnitureHousehold
0.08,2007-07-15,Health
0.38,2007-07-15,Transport
-0.12,2007-07-15,Communication
-0.23,2007-07-15,RecreationCulture
0.23,2007-07-15,Education
0.49,2007-07-15,RestaurantsHotels
0.2,2007-07-15,Misc
0.49,2007-06-15,Food
0.15,2007-06-15,AlcoholTobacco
-0.2,2007-06-15,ClothingFootwear
0.49,2007-06-15,HousingHouseService
0.29,2007-06-15,FurnitureHousehold
0.08,2007-06-15,Health
0.5,2007-06-15,Transport
-0.09,2007-06-15,Communication
-0.18,2007-06-15,RecreationCulture
0.23,2007-06-15,Education
0.5,2007-06-15,RestaurantsHotels
0.18,2007-06-15,Misc
0.57,2007-03-15,Food
0.19,2007-03-15,AlcoholTobacco
-0.25,2007-03-15,ClothingFootwear
1.09,2007-03-15,HousingHouseService
0.21,2007-03-15,FurnitureHousehold
0.09,2007-03-15,Health
0.25,2007-03-15,Transport
-0.07,2007-03-15,Communication
-0.11,2007-03-15,RecreationCulture
0.24,2007-03-15,Education
0.46,2007-03-15,RestaurantsHotels
0.39,2007-03-15,Misc
0.51,2007-05-15,Food
0.18,2007-05-15,AlcoholTobacco
-0.22,2007-05-15,ClothingFootwear
0.64,2007-05-15,HousingHouseService
0.2,2007-05-15,FurnitureHousehold
0.08,2007-05-15,Health
0.4,2007-05-15,Transport
-0.08,2007-05-15,Communication
-0.13,2007-05-15,RecreationCulture
0.23,2007-05-15,Education
0.48,2007-05-15,RestaurantsHotels
0.23,2007-05-15,Misc
0.49,2007-11-15,Food
0.12,2007-11-15,AlcoholTobacco
-0.28,2007-11-15,ClothingFootwear
0.09,2007-11-15,HousingHouseService
0.14,2007-11-15,FurnitureHousehold
0.07,2007-11-15,Health
0.87,2007-11-15,Transport
-0.1,2007-11-15,Communication
-0.18,2007-11-15,RecreationCulture
0.24,2007-11-15,Education
0.46,2007-11-15,RestaurantsHotels
0.16,2007-11-15,Misc
0.49,2007-10-15,Food
0.12,2007-10-15,AlcoholTobacco
-0.27,2007-10-15,ClothingFootwear
0.16,2007-10-15,HousingHouseService
0.15,2007-10-15,FurnitureHousehold
0.08,2007-10-15,Health
0.77,2007-10-15,Transport
-0.1,2007-10-15,Communication
-0.15,2007-10-15,RecreationCulture
0.24,2007-10-15,Education
0.48,2007-10-15,RestaurantsHotels
0.13,2007-10-15,Misc
0.38,2007-09-15,Food
0.14,2007-09-15,AlcoholTobacco
-0.25,2007-09-15,ClothingFootwear
0.26,2007-09-15,HousingHouseService
0.13,2007-09-15,FurnitureHousehold
0.08,2007-09-15,Health
0.42,2007-09-15,Transport
-0.07,2007-09-15,Communication
-0.16,2007-09-15,RecreationCulture
0.24,2007-09-15,Education
0.5,2007-09-15,RestaurantsHotels
0.1,2007-09-15,Misc
0.68,2008-04-15,Food
0.18,2008-04-15,AlcoholTobacco
-0.41,2008-04-15,ClothingFootwear
0.63,2008-04-15,HousingHouseService
0.11,2008-04-15,FurnitureHousehold
0.08,2008-04-15,Health
0.93,2008-04-15,Transport
-0.07,2008-04-15,Communication
-0.16,2008-04-15,RecreationCulture
0.23,2008-04-15,Education
0.53,2008-04-15,RestaurantsHotels
0.23,2008-04-15,Misc
1.36,2008-08-15,Food
0.19,2008-08-15,AlcoholTobacco
-0.44,2008-08-15,ClothingFootwear
1.16,2008-08-15,HousingHouseService
0.23,2008-08-15,FurnitureHousehold
0.07,2008-08-15,Health
1.12,2008-08-15,Transport
-0.07,2008-08-15,Communication
-0.03,2008-08-15,RecreationCulture
0.23,2008-08-15,Education
0.56,2008-08-15,RestaurantsHotels
0.34,2008-08-15,Misc
1.13,2008-12-15,Food
0.18,2008-12-15,AlcoholTobacco
-0.67,2008-12-15,ClothingFootwear
1.63,2008-12-15,HousingHouseService
0.06,2008-12-15,FurnitureHousehold
0.05,2008-12-15,Health
0.02,2008-12-15,Transport
-0.08,2008-12-15,Communication
-0.19,2008-12-15,RecreationCulture
0.16,2008-12-15,Education
0.49,2008-12-15,RestaurantsHotels
0.26,2008-12-15,Misc
0.58,2008-02-15,Food
0.12,2008-02-15,AlcoholTobacco
-0.3,2008-02-15,ClothingFootwear
0.41,2008-02-15,HousingHouseService
0.13,2008-02-15,FurnitureHousehold
0.07,2008-02-15,Health
0.94,2008-02-15,Transport
-0.09,2008-02-15,Communication
-0.18,2008-02-15,RecreationCulture
0.24,2008-02-15,Education
0.45,2008-02-15,RestaurantsHotels
0.12,2008-02-15,Misc
0.63,2008-01-15,Food
0.1,2008-01-15,AlcoholTobacco
-0.32,2008-01-15,ClothingFootwear
0.05,2008-01-15,HousingHouseService
0.13,2008-01-15,FurnitureHousehold
0.08,2008-01-15,Health
0.97,2008-01-15,Transport
-0.08,2008-01-15,Communication
-0.21,2008-01-15,RecreationCulture
0.24,2008-01-15,Education
0.45,2008-01-15,RestaurantsHotels
0.16,2008-01-15,Misc
1.28,2008-07-15,Food
0.18,2008-07-15,AlcoholTobacco
-0.44,2008-07-15,ClothingFootwear
0.87,2008-07-15,HousingHouseService
0.21,2008-07-15,FurnitureHousehold
0.08,2008-07-15,Health
1.22,2008-07-15,Transport
-0.02,2008-07-15,Communication
-0.02,2008-07-15,RecreationCulture
0.23,2008-07-15,Education
0.57,2008-07-15,RestaurantsHotels
0.28,2008-07-15,Misc
1.0,2008-06-15,Food
0.19,2008-06-15,AlcoholTobacco
-0.48,2008-06-15,ClothingFootwear
0.8,2008-06-15,HousingHouseService
0.14,2008-06-15,FurnitureHousehold
0.07,2008-06-15,Health
1.1,2008-06-15,Transport
-0.03,2008-06-15,Communication
0.0,2008-06-15,RecreationCulture
0.23,2008-06-15,Education
0.53,2008-06-15,RestaurantsHotels
0.27,2008-06-15,Misc
0.57,2008-03-15,Food
0.11,2008-03-15,AlcoholTobacco
-0.34,2008-03-15,ClothingFootwear
0.46,2008-03-15,HousingHouseService
0.05,2008-03-15,FurnitureHousehold
0.08,2008-03-15,Health
1.06,2008-03-15,Transport
-0.1,2008-03-15,Communication
-0.23,2008-03-15,RecreationCulture
0.24,2008-03-15,Education
0.45,2008-03-15,RestaurantsHotels
0.12,2008-03-15,Misc
0.82,2008-05-15,Food
0.21,2008-05-15,AlcoholTobacco
-0.41,2008-05-15,ClothingFootwear
0.73,2008-05-15,HousingHouseService
0.13,2008-05-15,FurnitureHousehold
0.07,2008-05-15,Health
0.94,2008-05-15,Transport
-0.06,2008-05-15,Communication
-0.12,2008-05-15,RecreationCulture
0.23,2008-05-15,Education
0.54,2008-05-15,RestaurantsHotels
0.26,2008-05-15,Misc
1.15,2008-11-15,Food
0.17,2008-11-15,AlcoholTobacco
-0.46,2008-11-15,ClothingFootwear
1.69,2008-11-15,HousingHouseService
0.22,2008-11-15,FurnitureHousehold
0.08,2008-11-15,Health
0.21,2008-11-15,Transport
-0.04,2008-11-15,Communication
0.0,2008-11-15,RecreationCulture
0.16,2008-11-15,Education
0.57,2008-11-15,RestaurantsHotels
0.33,2008-11-15,Misc
1.08,2008-10-15,Food
0.18,2008-10-15,AlcoholTobacco
-0.43,2008-10-15,ClothingFootwear
1.73,2008-10-15,HousingHouseService
0.22,2008-10-15,FurnitureHousehold
0.06,2008-10-15,Health
0.66,2008-10-15,Transport
-0.05,2008-10-15,Communication
-0.04,2008-10-15,RecreationCulture
0.16,2008-10-15,Education
0.58,2008-10-15,RestaurantsHotels
0.3,2008-10-15,Misc
1.19,2008-09-15,Food
0.18,2008-09-15,AlcoholTobacco
-0.4,2008-09-15,ClothingFootwear
1.71,2008-09-15,HousingHouseService
0.21,2008-09-15,FurnitureHousehold
0.07,2008-09-15,Health
1.15,2008-09-15,Transport
-0.06,2008-09-15,Communication
0.03,2008-09-15,RecreationCulture
0.2,2008-09-15,Education
0.59,2008-09-15,RestaurantsHotels
0.34,2008-09-15,Misc
0.94,2009-04-15,Food
0.13,2009-04-15,AlcoholTobacco
-0.52,2009-04-15,ClothingFootwear
0.73,2009-04-15,HousingHouseService
0.24,2009-04-15,FurnitureHousehold
0.06,2009-04-15,Health
-0.13,2009-04-15,Transport
0.03,2009-04-15,Communication
0.08,2009-04-15,RecreationCulture
0.16,2009-04-15,Education
0.33,2009-04-15,RestaurantsHotels
0.24,2009-04-15,Misc
0.25,2009-08-15,Food
0.18,2009-08-15,AlcoholTobacco
-0.48,2009-08-15,ClothingFootwear
0.39,2009-08-15,HousingHouseService
0.2,2009-08-15,FurnitureHousehold
0.06,2009-08-15,Health
0.09,2009-08-15,Transport
0.03,2009-08-15,Communication
0.26,2009-08-15,RecreationCulture
0.16,2009-08-15,Education
0.26,2009-08-15,RestaurantsHotels
0.2,2009-08-15,Misc
0.19,2009-12-15,Food
0.19,2009-12-15,AlcoholTobacco
-0.2,2009-12-15,ClothingFootwear
-0.1,2009-12-15,HousingHouseService
0.37,2009-12-15,FurnitureHousehold
0.07,2009-12-15,Health
1.34,2009-12-15,Transport
0.09,2009-12-15,Communication
0.43,2009-12-15,RecreationCulture
0.11,2009-12-15,Education
0.23,2009-12-15,RestaurantsHotels
0.18,2009-12-15,Misc
1.25,2009-02-15,Food
0.24,2009-02-15,AlcoholTobacco
-0.58,2009-02-15,ClothingFootwear
1.18,2009-02-15,HousingHouseService
0.22,2009-02-15,FurnitureHousehold
0.05,2009-02-15,Health
-0.22,2009-02-15,Transport
-0.01,2009-02-15,Communication
0.05,2009-02-15,RecreationCulture
0.16,2009-02-15,Education
0.49,2009-02-15,RestaurantsHotels
0.32,2009-02-15,Misc
1.11,2009-01-15,Food
0.23,2009-01-15,AlcoholTobacco
