Square Footage,County,Agency Name
2609,Peoria,Department of Natural Resources
13621,Peoria,Department of Natural Resources
14043,Peoria,Department of Natural Resources
1665,Peoria,Department of Natural Resources
4464,Peoria,Department of Natural Resources
514,Peoria,Department of Natural Resources
398,Peoria,Department of Natural Resources
899,Peoria,Department of Natural Resources
81,Peoria,Department of Natural Resources
629,Peoria,Department of Natural Resources
227,Peoria,Department of Natural Resources
1563,Peoria,Department of Natural Resources
82,Peoria,Department of Natural Resources
69,Peoria,Department of Natural Resources
584,Peoria,Department of Natural Resources
702,Peoria,Department of Natural Resources
3186,Peoria,Department of Natural Resources
2762,Peoria,Department of Natural Resources
2232,Peoria,Department of Natural Resources
2583,Peoria,Department of Natural Resources
625,Peoria,Department of Natural Resources
2013,Peoria,Department of Natural Resources
678,Peoria,Department of Natural Resources
748,Peoria,Department of Natural Resources
827,Peoria,Department of Natural Resources
307,Peoria,Department of Natural Resources
300,Peoria,Department of Natural Resources
64,Peoria,Department of Natural Resources
300,Peoria,Department of Natural Resources
300,Peoria,Department of Natural Resources
5970,Peoria,Department of Natural Resources
771,Peoria,Department of Natural Resources
259,Peoria,Department of Natural Resources
259,Peoria,Department of Natural Resources
342,Peoria,Department of Natural Resources
259,Peoria,Department of Natural Resources
308,Peoria,Department of Natural Resources
250,Peoria,Department of Natural Resources
720,Peoria,Department of Natural Resources
4793,Peoria,Department of Natural Resources
82,Peoria,Department of Natural Resources
4471,Peoria,Department of Natural Resources
650,Peoria,Department of Natural Resources
540,Peoria,Department of Natural Resources
3225,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
360,Peoria,Department of Natural Resources
276,Peoria,Department of Natural Resources
4705,Peoria,Department of Natural Resources
4589,Peoria,Department of Natural Resources
6041,Peoria,Department of Natural Resources
7840,Peoria,Department of Natural Resources
632,Peoria,Department of Natural Resources
1312,Jersey,Department of Natural Resources
144,Randolph,Department of Natural Resources
144,Randolph,Department of Natural Resources
1860,Shelby,Department of Natural Resources
140,Shelby,Department of Natural Resources
126,Shelby,Department of Natural Resources
1860,Shelby,Department of Natural Resources
300,Shelby,Department of Natural Resources
120,Shelby,Department of Natural Resources
20,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
144,Shelby,Department of Natural Resources
20,Shelby,Department of Natural Resources
100,Henry,Department of Juvenile Justice
240,Randolph,Department of Corrections
768,Jackson,Department of Juvenile Justice
6300,Cook,Department of Transportation
0,Lake,Department of Transportation
6528,Sangamon,Department of Transportation
2376,Sangamon,Department of Transportation
33750,Sangamon,Department of Agriculture
23425,Livingston,Department of State Police
1436,Livingston,Department of State Police
33000,Perry,Department of State Police
3200,Champaign,University of Illinois
20250,Champaign,University of Illinois
10923,Champaign,University of Illinois
8450,Champaign,University of Illinois
9600,Champaign,University of Illinois
5863,Champaign,University of Illinois
1000,Champaign,University of Illinois
1512,Champaign,University of Illinois
5030,Champaign,University of Illinois
1392,Champaign,University of Illinois
720,Champaign,University of Illinois
336,Champaign,University of Illinois
704,Champaign,University of Illinois
2910,Champaign,University of Illinois
2000,Champaign,University of Illinois
3264,Champaign,University of Illinois
3528,Champaign,University of Illinois
12624,Champaign,University of Illinois
12059,Champaign,University of Illinois
5695,Champaign,University of Illinois
5655,Champaign,University of Illinois
10044,Champaign,University of Illinois
4896,Champaign,University of Illinois
14028,Cook,University of Illinois
108214,Cook,University of Illinois
7434,Champaign,University of Illinois
4600,Jackson,Southern Illinois University
1395,Jackson,Southern Illinois University
6286,Jackson,Southern Illinois University
2406,Jackson,Southern Illinois University
154000,McLean,Illinois State University
4500,LaSalle,Department of Veterans' Affairs
6640,Cook,University of Illinois
64,Jasper,Department of Natural Resources
108,Jasper,Department of Natural Resources
1600,Hardin,Department of Natural Resources
105,Hardin,Department of Natural Resources
105,Hardin,Department of Natural Resources
105,Hardin,Department of Natural Resources
105,Hardin,Department of Natural Resources
105,Hardin,Department of Natural Resources
1650,Logan,Department of Human Services
24980,Logan,Department of Corrections
16300,Logan,Department of Corrections
576,Logan,Department of Corrections
432,White,Department of State Police
432,White,Department of State Police
1176,White,Department of State Police
400,White,Department of State Police
51450,Perry,Department of Agriculture
950,Perry,Department of Agriculture
950,Perry,Department of Agriculture
575,Perry,Department of Agriculture
64,LaSalle,Department of Natural Resources
1080,Vermilion,Department of Natural Resources
560,Vermilion,Department of Natural Resources
560,Vermilion,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
100,Livingston,Department of Corrections
1100,Clinton,Department of Corrections
468,Clinton,Department of Corrections
14527,Cook,Department of Transportation
1960,Tazewell,Department of Transportation
1280,Knox,Department of Transportation
700,Jasper,Department of Natural Resources
2922,Alexander,Department of Transportation
1300,Pulaski,Department of State Police
684,Jackson,Southern Illinois University
140000,Cook,Chicago State University
140000,DeKalb,Northern Illinois University
22000,DeKalb,Northern Illinois University
0,DeKalb,Northern Illinois University
0,DeKalb,Northern Illinois University
42082,DeKalb,Northern Illinois University
119700,DeKalb,Northern Illinois University
25000,DeKalb,Northern Illinois University
16719,DeKalb,Northern Illinois University
899,DeKalb,Northern Illinois University
2000,Adams,Department of Veterans' Affairs
1400,Randolph,Department of Corrections
144,,Department of State Police
500,LaSalle,Department of Natural Resources
8920,Clinton,Department of Corrections
4900,LaSalle,Department of Natural Resources
720,LaSalle,Department of Natural Resources
212,Jackson,Department of Natural Resources
212,Jackson,Department of Natural Resources
212,Jackson,Department of Natural Resources
5760,Champaign,University of Illinois
5760,Champaign,University of Illinois
720,Lake,Department of Human Services
120,Lake,Department of Human Services
144,Lake,Department of Human Services
150,Lake,Department of Human Services
150,Lake,Department of Human Services
150,Lake,Department of Human Services
120,Lake,Department of Human Services
120,Lake,Department of Human Services
100,Lake,Department of Human Services
306,DeWitt,Department of Natural Resources
190,DeWitt,Department of Natural Resources
1958,DeWitt,Department of Natural Resources
68,DeWitt,Department of Natural Resources
12,DeWitt,Department of Natural Resources
2700,Perry,Department of Natural Resources
3150,Perry,Department of Natural Resources
19500,Perry,Department of Natural Resources
30,Jefferson,Department of Natural Resources
1200,Jefferson,Department of Natural Resources
600,Jefferson,Department of Natural Resources
1500,Jefferson,Department of Natural Resources
1050,Jefferson,Department of Natural Resources
1875,Jefferson,Department of Natural Resources
2100,Jefferson,Department of Natural Resources
864,Williamson,Department of Natural Resources
768,LaSalle,Department of Natural Resources
360,Lake,Department of Natural Resources
336,McHenry,Department of Natural Resources
336,McHenry,Department of Natural Resources
336,McHenry,Department of Natural Resources
336,McHenry,Department of Natural Resources
336,McHenry,Department of Natural Resources
336,McHenry,Department of Natural Resources
336,McHenry,Department of Natural Resources
336,McHenry,Department of Natural Resources
25,McHenry,Department of Natural Resources
25,McHenry,Department of Natural Resources
144,McHenry,Department of Natural Resources
2112,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
320,McHenry,Department of Natural Resources
320,McHenry,Department of Natural Resources
865,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
16,McHenry,Department of Natural Resources
100,McHenry,Department of Natural Resources
176,McHenry,Department of Natural Resources
25,McHenry,Department of Natural Resources
25,McHenry,Department of Natural Resources
784,McHenry,Department of Natural Resources
100,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
560,McHenry,Department of Natural Resources
560,McHenry,Department of Natural Resources
3600,Union,Department of Natural Resources
176,McHenry,Department of Natural Resources
100,McHenry,Department of Natural Resources
0,McHenry,Department of Natural Resources
560,McHenry,Department of Natural Resources
150,McHenry,Department of Natural Resources
5400,Jefferson,Department of Natural Resources
1444,Jefferson,Department of Natural Resources
100,Jefferson,Department of Natural Resources
675,Jefferson,Department of Natural Resources
600,Jefferson,Department of Natural Resources
535,Jefferson,Department of Natural Resources
500,Jefferson,Department of Natural Resources
1200,Jefferson,Department of Natural Resources
1200,Jefferson,Department of Natural Resources
1200,Jefferson,Department of Natural Resources
1200,Jefferson,Department of Natural Resources
1200,Jefferson,Department of Natural Resources
1200,Jefferson,Department of Natural Resources
560,Jefferson,Department of Natural Resources
560,Jefferson,Department of Natural Resources
560,Jefferson,Department of Natural Resources
560,Jefferson,Department of Natural Resources
1800,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
675,Jefferson,Department of Natural Resources
640,Randolph,Department of Human Services
2450,Lee,Department of Corrections
460,Randolph,Department of Corrections
240,Johnson,Department of Corrections
2048,Randolph,Department of Corrections
2250,Henderson,Department of Transportation
225,White,Department of State Police
592,White,Department of State Police
432,White,Department of State Police
1656,Sangamon,Department of Agriculture
0,Perry,Department of Agriculture
118200,Perry,Department of Agriculture
3000,Lee,Department of Corrections
300,Shelby,Department of Natural Resources
400,Vermilion,Department of Natural Resources
2331,Vermilion,Department of Natural Resources
3364,Vermilion,Department of Natural Resources
900,Vermilion,Department of Natural Resources
88,LaSalle,Department of Natural Resources
96,LaSalle,Department of Natural Resources
580,LaSalle,Department of Natural Resources
0,Hancock,Department of Natural Resources
0,Hancock,Department of Natural Resources
50840,Champaign,University of Illinois
34014,Kankakee,Department of Veterans' Affairs
6000,Tazewell,Department of Transportation
2500,Montgomery,Department of Corrections
104,Stephenson,Department of Natural Resources
2000,Madison,Department of Transportation
2000,Madison,Department of Transportation
400,Madison,Department of Transportation
400,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
144,Madison,Department of Transportation
96,Johnson,Department of Natural Resources
1300,Lake,Department of Natural Resources
2922,St. Clair,Department of Transportation
1200,Woodford,Department of Transportation
936,Sangamon,Department of State Police
180000,Champaign,University of Illinois
627,Jasper,Department of Natural Resources
112,Jasper,Department of Natural Resources
18,Jasper,Department of Natural Resources
18,Jasper,Department of Natural Resources
1200,Jasper,Department of Natural Resources
400,Jasper,Department of Natural Resources
500,Kane,Department of Juvenile Justice
172000,Cook,Chicago State University
3200,Kane,Department of Transportation
3024,Crawford,Department of Transportation
338,Randolph,Department of Corrections
1916,Randolph,Department of Corrections
512,Tazewell,Department of Transportation
26875,LaSalle,Department of Military Affairs
14262,LaSalle,Department of Military Affairs
24338,LaSalle,Department of Military Affairs
24338,LaSalle,Department of Military Affairs
19410,LaSalle,Department of Military Affairs
19410,LaSalle,Department of Military Affairs
7100,Johnson,Department of Natural Resources
144,Will,Department of Natural Resources
144,Will,Department of Natural Resources
144,Will,Department of Natural Resources
144,Will,Department of Natural Resources
144,Will,Department of Natural Resources
144,Will,Department of Natural Resources
144,Will,Department of Natural Resources
140000,Champaign,University of Illinois
195,Cass,Department of Natural Resources
195,Cass,Department of Natural Resources
195,Cass,Department of Natural Resources
384,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
560,Cass,Department of Natural Resources
570,Cass,Department of Natural Resources
144,Peoria,Department of Natural Resources
4000,Union,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
144,Bureau,Department of Natural Resources
150,Will,Department of Corrections
1953,Will,Department of Corrections
2928,Lee,Department of Transportation
2928,Bureau,Department of Transportation
1440,DeKalb,Department of Transportation
4070,Pike,Department of Transportation
6348,LaSalle,Department of Military Affairs
4956,Madison,Southern Illinois University
96,Fayette,Department of Corrections
6880,Cook,Department of Transportation
5172,Jackson,Southern Illinois University
6613,Gallatin,Historic Preservation Agency
2100,Gallatin,Historic Preservation Agency
1760,Gallatin,Historic Preservation Agency
34,Sangamon,Office of the Secretary of State
500,Sangamon,Office of the Secretary of State
500,Sangamon,Office of the Secretary of State
200,Sangamon,Office of the Secretary of State
4300,Sangamon,Office of the Secretary of State
2700,Sangamon,Office of the Secretary of State
4200,Sangamon,Office of the Secretary of State
4300,Sangamon,Office of the Secretary of State
1500,Sangamon,Office of the Secretary of State
4000,Sangamon,Office of the Secretary of State
500,Sangamon,Office of the Secretary of State
3500,Sangamon,Office of the Secretary of State
4900,Sangamon,Office of the Secretary of State
4500,Sangamon,Office of the Secretary of State
1200,Sangamon,Office of the Secretary of State
1200,Sangamon,Office of the Secretary of State
2000,Sangamon,Office of the Secretary of State
2400,Logan,Department of Transportation
1593,Adams,Department of Military Affairs
3306,Adams,Department of Military Affairs
3072,McLean,Department of Transportation
128,McDonough,Department of State Police
144,Winnebago,Department of State Police
2390,Hardin,Department of Natural Resources
864,Hardin,Department of Natural Resources
576,Hardin,Department of Natural Resources
560,Clark,Department of Natural Resources
560,Clark,Department of Natural Resources
1342,Clark,Department of Natural Resources
480,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
104,Clark,Department of Natural Resources
3000,Coles,Historic Preservation Agency
2400,Kankakee,Department of Veterans' Affairs
320,Shelby,Department of Natural Resources
14470,Madison,Historic Preservation Agency
7800,McLean,Department of Transportation
1440,McLean,Department of Transportation
64,Jasper,Department of Natural Resources
108,Jasper,Department of Natural Resources
515,McHenry,Department of Transportation
515,McHenry,Department of Transportation
520,DuPage,Department of Transportation
6016,St. Clair,Department of Military Affairs
144,Macoupin,Department of Natural Resources
144,Macoupin,Department of Natural Resources
144,Macoupin,Department of Natural Resources
144,Macoupin,Department of Natural Resources
144,Macoupin,Department of Natural Resources
144,Macoupin,Department of Natural Resources
320,Macoupin,Department of Natural Resources
130,Macoupin,Department of Natural Resources
672,Clinton,Department of Natural Resources
1258,Clinton,Department of Natural Resources
630,Clinton,Department of Natural Resources
630,Clinton,Department of Natural Resources
630,Clinton,Department of Natural Resources
1258,Clinton,Department of Natural Resources
630,Clinton,Department of Natural Resources
630,Clinton,Department of Natural Resources
630,Clinton,Department of Natural Resources
630,Clinton,Department of Natural Resources
560,Clinton,Department of Natural Resources
1258,Clinton,Department of Natural Resources
1229,Clinton,Department of Natural Resources
1229,Clinton,Department of Natural Resources
1229,Clinton,Department of Natural Resources
3380,Alexander,Department of Corrections
45000,Sangamon,Department of Agriculture
3600,Union,Department of Natural Resources
43280,Sangamon,Department of Agriculture
3000,,Department of Veterans' Affairs
3600,Sangamon,Department of Agriculture
3384,Sangamon,Department of Agriculture
1872,Sangamon,Department of Agriculture
1224,Sangamon,Department of Agriculture
2474,Jackson,Southern Illinois University
12000,Sangamon,Department of Transportation
144,Hamilton,Department of Natural Resources
144,Hamilton,Department of Natural Resources
144,Hamilton,Department of Natural Resources
144,Hamilton,Department of Natural Resources
144,Hamilton,Department of Natural Resources
144,Hamilton,Department of Natural Resources
144,Hamilton,Department of Natural Resources
1080,DeWitt,Department of Natural Resources
560,DeWitt,Department of Natural Resources
1867,DeWitt,Department of Natural Resources
132,DeWitt,Department of Natural Resources
106,DeWitt,Department of Natural Resources
4032,Saline,Department of Transportation
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
80,Lee,Department of Human Services
80,Lee,Department of Human Services
17300,Sangamon,Department of Transportation
15000,Williamson,Department of Natural Resources
80,Jefferson,Department of Natural Resources
80,Jefferson,Department of Natural Resources
80,Jefferson,Department of Natural Resources
4521,Logan,Department of Human Services
4521,Logan,Department of Human Services
4521,Logan,Department of Human Services
4780,Logan,Department of Human Services
2400,Vermilion,Department of Transportation
4073,Sangamon,Department of Transportation
62338,Jackson,Southern Illinois University
5200,Adams,Department of Veterans' Affairs
70,Jefferson,Department of Natural Resources
70,Jefferson,Department of Natural Resources
70,Jefferson,Department of Natural Resources
70,Jefferson,Department of Natural Resources
70,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
768,Fulton,Department of Natural Resources
452,Shelby,Department of Natural Resources
441,Shelby,Department of Natural Resources
380,Crawford,Department of Natural Resources
50,Crawford,Department of Natural Resources
50,Crawford,Department of Natural Resources
50,Crawford,Department of Natural Resources
50,Crawford,Department of Natural Resources
50,Crawford,Department of Natural Resources
144,Crawford,Department of Natural Resources
144,Crawford,Department of Natural Resources
30000,Cook,Chicago State University
7200,Sangamon,Department of Transportation
3300,Sangamon,Office of the Secretary of State
48000,Knox,Department of Military Affairs
144,Hancock,Department of Natural Resources
144,Hancock,Department of Natural Resources
144,Hancock,Department of Natural Resources
2922,Franklin,Department of Transportation
2922,Massac,Department of Transportation
4072,Madison,Department of Transportation
420,Cook,Department of State Police
3200,St. Clair,Southern Illinois University
112,Cook,Department of Human Services
0,Fulton,Department of Natural Resources
800,LaSalle,Department of Military Affairs
360,LaSalle,Department of Military Affairs
275,LaSalle,Department of Military Affairs
50000,Sangamon,Illinois Emergency Management Agency
104,Perry,Department of Natural Resources
104,Perry,Department of Natural Resources
104,Perry,Department of Natural Resources
144,Knox,Department of Natural Resources
8300,Jefferson,Department of Natural Resources
400,Jefferson,Department of Natural Resources
8300,Jefferson,Department of Natural Resources
1200,Jefferson,Department of Natural Resources
3790,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
144,Jefferson,Department of Natural Resources
