country,year,country,year,country
Zambia,1952,Zambia,1952,Zambia
Zimbabwe,1952,Zimbabwe,1952,Zimbabwe
Afghanistan,1957,Afghanistan,1957,Afghanistan
Albania,1957,Albania,1957,Albania
Algeria,1957,Algeria,1957,Algeria
Andorra,1957,Andorra,1957,Andorra
Angola,1957,Angola,1957,Angola
Antigua and Barbuda,1957,Antigua and Barbuda,1957,Antigua and Barbuda
Argentina,1957,Argentina,1957,Argentina
Armenia,1957,Armenia,1957,Armenia
Australia,1957,Australia,1957,Australia
Austria,1957,Austria,1957,Austria
Azerbaijan,1957,Azerbaijan,1957,Azerbaijan
Bahamas,1957,Bahamas,1957,Bahamas
Bahrain,1957,Bahrain,1957,Bahrain
Bangladesh,1957,Bangladesh,1957,Bangladesh
Barbados,1957,Barbados,1957,Barbados
Belarus,1957,Belarus,1957,Belarus
Belgium,1957,Belgium,1957,Belgium
Belize,1957,Belize,1957,Belize
Benin,1957,Benin,1957,Benin
Bhutan,1957,Bhutan,1957,Bhutan
Bolivia,1957,Bolivia,1957,Bolivia
Bosnia and Herzegovina,1957,Bosnia and Herzegovina,1957,Bosnia and Herzegovina
Botswana,1957,Botswana,1957,Botswana
Brazil,1957,Brazil,1957,Brazil
Brunei,1957,Brunei,1957,Brunei
Bulgaria,1957,Bulgaria,1957,Bulgaria
Burkina Faso,1957,Burkina Faso,1957,Burkina Faso
Burundi,1957,Burundi,1957,Burundi
Cambodia,1957,Cambodia,1957,Cambodia
Cameroon,1957,Cameroon,1957,Cameroon
Canada,1957,Canada,1957,Canada
Cape Verde,1957,Cape Verde,1957,Cape Verde
Central African Republic,1957,Central African Republic,1957,Central African Republic
Chad,1957,Chad,1957,Chad
Chile,1957,Chile,1957,Chile
China,1957,China,1957,China
Colombia,1957,Colombia,1957,Colombia
Comoros,1957,Comoros,1957,Comoros
"Congo, Dem. Rep.",1957,"Congo, Dem. Rep.",1957,"Congo, Dem. Rep."
"Congo, Rep.",1957,"Congo, Rep.",1957,"Congo, Rep."
Costa Rica,1957,Costa Rica,1957,Costa Rica
Cote d'Ivoire,1957,Cote d'Ivoire,1957,Cote d'Ivoire
Croatia,1957,Croatia,1957,Croatia
Cuba,1957,Cuba,1957,Cuba
Cyprus,1957,Cyprus,1957,Cyprus
Czech Republic,1957,Czech Republic,1957,Czech Republic
Denmark,1957,Denmark,1957,Denmark
Djibouti,1957,Djibouti,1957,Djibouti
Dominica,1957,Dominica,1957,Dominica
Dominican Republic,1957,Dominican Republic,1957,Dominican Republic
Ecuador,1957,Ecuador,1957,Ecuador
Egypt,1957,Egypt,1957,Egypt
El Salvador,1957,El Salvador,1957,El Salvador
Equatorial Guinea,1957,Equatorial Guinea,1957,Equatorial Guinea
Eritrea,1957,Eritrea,1957,Eritrea
Estonia,1957,Estonia,1957,Estonia
Ethiopia,1957,Ethiopia,1957,Ethiopia
Fiji,1957,Fiji,1957,Fiji
Finland,1957,Finland,1957,Finland
France,1957,France,1957,France
Gabon,1957,Gabon,1957,Gabon
Gambia,1957,Gambia,1957,Gambia
Georgia,1957,Georgia,1957,Georgia
Germany,1957,Germany,1957,Germany
Ghana,1957,Ghana,1957,Ghana
Greece,1957,Greece,1957,Greece
Grenada,1957,Grenada,1957,Grenada
Guatemala,1957,Guatemala,1957,Guatemala
Guinea,1957,Guinea,1957,Guinea
Guinea-Bissau,1957,Guinea-Bissau,1957,Guinea-Bissau
Guyana,1957,Guyana,1957,Guyana
Haiti,1957,Haiti,1957,Haiti
Honduras,1957,Honduras,1957,Honduras
Hungary,1957,Hungary,1957,Hungary
Iceland,1957,Iceland,1957,Iceland
India,1957,India,1957,India
Indonesia,1957,Indonesia,1957,Indonesia
Iran,1957,Iran,1957,Iran
Iraq,1957,Iraq,1957,Iraq
Ireland,1957,Ireland,1957,Ireland
Israel,1957,Israel,1957,Israel
Italy,1957,Italy,1957,Italy
Jamaica,1957,Jamaica,1957,Jamaica
Japan,1957,Japan,1957,Japan
Jordan,1957,Jordan,1957,Jordan
Kazakhstan,1957,Kazakhstan,1957,Kazakhstan
Kenya,1957,Kenya,1957,Kenya
Kiribati,1957,Kiribati,1957,Kiribati
Kuwait,1957,Kuwait,1957,Kuwait
Kyrgyz Republic,1957,Kyrgyz Republic,1957,Kyrgyz Republic
Lao,1957,Lao,1957,Lao
Latvia,1957,Latvia,1957,Latvia
Lebanon,1957,Lebanon,1957,Lebanon
Lesotho,1957,Lesotho,1957,Lesotho
Liberia,1957,Liberia,1957,Liberia
Libya,1957,Libya,1957,Libya
Lithuania,1957,Lithuania,1957,Lithuania
Luxembourg,1957,Luxembourg,1957,Luxembourg
"Macedonia, FYR",1957,"Macedonia, FYR",1957,"Macedonia, FYR"
Madagascar,1957,Madagascar,1957,Madagascar
Malawi,1957,Malawi,1957,Malawi
Malaysia,1957,Malaysia,1957,Malaysia
Maldives,1957,Maldives,1957,Maldives
Mali,1957,Mali,1957,Mali
Malta,1957,Malta,1957,Malta
Marshall Islands,1957,Marshall Islands,1957,Marshall Islands
Mauritania,1957,Mauritania,1957,Mauritania
Mauritius,1957,Mauritius,1957,Mauritius
Mexico,1957,Mexico,1957,Mexico
"Micronesia, Fed. Sts.",1957,"Micronesia, Fed. Sts.",1957,"Micronesia, Fed. Sts."
Moldova,1957,Moldova,1957,Moldova
Mongolia,1957,Mongolia,1957,Mongolia
Montenegro,1957,Montenegro,1957,Montenegro
Morocco,1957,Morocco,1957,Morocco
Mozambique,1957,Mozambique,1957,Mozambique
Myanmar,1957,Myanmar,1957,Myanmar
Namibia,1957,Namibia,1957,Namibia
Nepal,1957,Nepal,1957,Nepal
Netherlands,1957,Netherlands,1957,Netherlands
New Zealand,1957,New Zealand,1957,New Zealand
Nicaragua,1957,Nicaragua,1957,Nicaragua
Niger,1957,Niger,1957,Niger
Nigeria,1957,Nigeria,1957,Nigeria
North Korea,1957,North Korea,1957,North Korea
Norway,1957,Norway,1957,Norway
Oman,1957,Oman,1957,Oman
Pakistan,1957,Pakistan,1957,Pakistan
Palestine,1957,Palestine,1957,Palestine
Panama,1957,Panama,1957,Panama
Papua New Guinea,1957,Papua New Guinea,1957,Papua New Guinea
Paraguay,1957,Paraguay,1957,Paraguay
Peru,1957,Peru,1957,Peru
Philippines,1957,Philippines,1957,Philippines
Poland,1957,Poland,1957,Poland
Portugal,1957,Portugal,1957,Portugal
Qatar,1957,Qatar,1957,Qatar
Romania,1957,Romania,1957,Romania
Russia,1957,Russia,1957,Russia
Rwanda,1957,Rwanda,1957,Rwanda
Samoa,1957,Samoa,1957,Samoa
Sao Tome and Principe,1957,Sao Tome and Principe,1957,Sao Tome and Principe
Saudi Arabia,1957,Saudi Arabia,1957,Saudi Arabia
Senegal,1957,Senegal,1957,Senegal
Serbia,1957,Serbia,1957,Serbia
Seychelles,1957,Seychelles,1957,Seychelles
Sierra Leone,1957,Sierra Leone,1957,Sierra Leone
Singapore,1957,Singapore,1957,Singapore
Slovak Republic,1957,Slovak Republic,1957,Slovak Republic
Slovenia,1957,Slovenia,1957,Slovenia
Solomon Islands,1957,Solomon Islands,1957,Solomon Islands
Somalia,1957,Somalia,1957,Somalia
South Africa,1957,South Africa,1957,South Africa
South Korea,1957,South Korea,1957,South Korea
South Sudan,1957,South Sudan,1957,South Sudan
Spain,1957,Spain,1957,Spain
Sri Lanka,1957,Sri Lanka,1957,Sri Lanka
St. Lucia,1957,St. Lucia,1957,St. Lucia
St. Vincent and the Grenadines,1957,St. Vincent and the Grenadines,1957,St. Vincent and the Grenadines
Sudan,1957,Sudan,1957,Sudan
Suriname,1957,Suriname,1957,Suriname
Swaziland,1957,Swaziland,1957,Swaziland
Sweden,1957,Sweden,1957,Sweden
Switzerland,1957,Switzerland,1957,Switzerland
Syria,1957,Syria,1957,Syria
Tajikistan,1957,Tajikistan,1957,Tajikistan
Tanzania,1957,Tanzania,1957,Tanzania
Thailand,1957,Thailand,1957,Thailand
Timor-Leste,1957,Timor-Leste,1957,Timor-Leste
Togo,1957,Togo,1957,Togo
Tonga,1957,Tonga,1957,Tonga
Trinidad and Tobago,1957,Trinidad and Tobago,1957,Trinidad and Tobago
Tunisia,1957,Tunisia,1957,Tunisia
Turkey,1957,Turkey,1957,Turkey
Turkmenistan,1957,Turkmenistan,1957,Turkmenistan
Uganda,1957,Uganda,1957,Uganda
Ukraine,1957,Ukraine,1957,Ukraine
United Arab Emirates,1957,United Arab Emirates,1957,United Arab Emirates
United Kingdom,1957,United Kingdom,1957,United Kingdom
United States,1957,United States,1957,United States
Uruguay,1957,Uruguay,1957,Uruguay
Uzbekistan,1957,Uzbekistan,1957,Uzbekistan
Vanuatu,1957,Vanuatu,1957,Vanuatu
Venezuela,1957,Venezuela,1957,Venezuela
Vietnam,1957,Vietnam,1957,Vietnam
Yemen,1957,Yemen,1957,Yemen
Zambia,1957,Zambia,1957,Zambia
Zimbabwe,1957,Zimbabwe,1957,Zimbabwe
Afghanistan,1962,Afghanistan,1962,Afghanistan
Albania,1962,Albania,1962,Albania
Algeria,1962,Algeria,1962,Algeria
Andorra,1962,Andorra,1962,Andorra
Angola,1962,Angola,1962,Angola
Antigua and Barbuda,1962,Antigua and Barbuda,1962,Antigua and Barbuda
Argentina,1962,Argentina,1962,Argentina
Armenia,1962,Armenia,1962,Armenia
Australia,1962,Australia,1962,Australia
Austria,1962,Austria,1962,Austria
Azerbaijan,1962,Azerbaijan,1962,Azerbaijan
Bahamas,1962,Bahamas,1962,Bahamas
Bahrain,1962,Bahrain,1962,Bahrain
Bangladesh,1962,Bangladesh,1962,Bangladesh
Barbados,1962,Barbados,1962,Barbados
Belarus,1962,Belarus,1962,Belarus
Belgium,1962,Belgium,1962,Belgium
Belize,1962,Belize,1962,Belize
Benin,1962,Benin,1962,Benin
Bhutan,1962,Bhutan,1962,Bhutan
Bolivia,1962,Bolivia,1962,Bolivia
Bosnia and Herzegovina,1962,Bosnia and Herzegovina,1962,Bosnia and Herzegovina
Botswana,1962,Botswana,1962,Botswana
Brazil,1962,Brazil,1962,Brazil
Brunei,1962,Brunei,1962,Brunei
Bulgaria,1962,Bulgaria,1962,Bulgaria
Burkina Faso,1962,Burkina Faso,1962,Burkina Faso
Burundi,1962,Burundi,1962,Burundi
Cambodia,1962,Cambodia,1962,Cambodia
Cameroon,1962,Cameroon,1962,Cameroon
Canada,1962,Canada,1962,Canada
Cape Verde,1962,Cape Verde,1962,Cape Verde
Central African Republic,1962,Central African Republic,1962,Central African Republic
Chad,1962,Chad,1962,Chad
Chile,1962,Chile,1962,Chile
China,1962,China,1962,China
Colombia,1962,Colombia,1962,Colombia
Comoros,1962,Comoros,1962,Comoros
"Congo, Dem. Rep.",1962,"Congo, Dem. Rep.",1962,"Congo, Dem. Rep."
"Congo, Rep.",1962,"Congo, Rep.",1962,"Congo, Rep."
Costa Rica,1962,Costa Rica,1962,Costa Rica
Cote d'Ivoire,1962,Cote d'Ivoire,1962,Cote d'Ivoire
Croatia,1962,Croatia,1962,Croatia
Cuba,1962,Cuba,1962,Cuba
Cyprus,1962,Cyprus,1962,Cyprus
Czech Republic,1962,Czech Republic,1962,Czech Republic
Denmark,1962,Denmark,1962,Denmark
Djibouti,1962,Djibouti,1962,Djibouti
Dominica,1962,Dominica,1962,Dominica
Dominican Republic,1962,Dominican Republic,1962,Dominican Republic
Ecuador,1962,Ecuador,1962,Ecuador
Egypt,1962,Egypt,1962,Egypt
El Salvador,1962,El Salvador,1962,El Salvador
Equatorial Guinea,1962,Equatorial Guinea,1962,Equatorial Guinea
Eritrea,1962,Eritrea,1962,Eritrea
Estonia,1962,Estonia,1962,Estonia
Ethiopia,1962,Ethiopia,1962,Ethiopia
Fiji,1962,Fiji,1962,Fiji
Finland,1962,Finland,1962,Finland
France,1962,France,1962,France
Gabon,1962,Gabon,1962,Gabon
Gambia,1962,Gambia,1962,Gambia
Georgia,1962,Georgia,1962,Georgia
Germany,1962,Germany,1962,Germany
Ghana,1962,Ghana,1962,Ghana
Greece,1962,Greece,1962,Greece
Grenada,1962,Grenada,1962,Grenada
Guatemala,1962,Guatemala,1962,Guatemala
Guinea,1962,Guinea,1962,Guinea
Guinea-Bissau,1962,Guinea-Bissau,1962,Guinea-Bissau
Guyana,1962,Guyana,1962,Guyana
Haiti,1962,Haiti,1962,Haiti
Honduras,1962,Honduras,1962,Honduras
Hungary,1962,Hungary,1962,Hungary
Iceland,1962,Iceland,1962,Iceland
India,1962,India,1962,India
Indonesia,1962,Indonesia,1962,Indonesia
Iran,1962,Iran,1962,Iran
Iraq,1962,Iraq,1962,Iraq
Ireland,1962,Ireland,1962,Ireland
Israel,1962,Israel,1962,Israel
Italy,1962,Italy,1962,Italy
Jamaica,1962,Jamaica,1962,Jamaica
Japan,1962,Japan,1962,Japan
Jordan,1962,Jordan,1962,Jordan
Kazakhstan,1962,Kazakhstan,1962,Kazakhstan
Kenya,1962,Kenya,1962,Kenya
Kiribati,1962,Kiribati,1962,Kiribati
Kuwait,1962,Kuwait,1962,Kuwait
Kyrgyz Republic,1962,Kyrgyz Republic,1962,Kyrgyz Republic
Lao,1962,Lao,1962,Lao
Latvia,1962,Latvia,1962,Latvia
Lebanon,1962,Lebanon,1962,Lebanon
Lesotho,1962,Lesotho,1962,Lesotho
Liberia,1962,Liberia,1962,Liberia
Libya,1962,Libya,1962,Libya
Lithuania,1962,Lithuania,1962,Lithuania
Luxembourg,1962,Luxembourg,1962,Luxembourg
"Macedonia, FYR",1962,"Macedonia, FYR",1962,"Macedonia, FYR"
Madagascar,1962,Madagascar,1962,Madagascar
Malawi,1962,Malawi,1962,Malawi
Malaysia,1962,Malaysia,1962,Malaysia
Maldives,1962,Maldives,1962,Maldives
Mali,1962,Mali,1962,Mali
Malta,1962,Malta,1962,Malta
Marshall Islands,1962,Marshall Islands,1962,Marshall Islands
Mauritania,1962,Mauritania,1962,Mauritania
Mauritius,1962,Mauritius,1962,Mauritius
Mexico,1962,Mexico,1962,Mexico
"Micronesia, Fed. Sts.",1962,"Micronesia, Fed. Sts.",1962,"Micronesia, Fed. Sts."
Moldova,1962,Moldova,1962,Moldova
Mongolia,1962,Mongolia,1962,Mongolia
Montenegro,1962,Montenegro,1962,Montenegro
Morocco,1962,Morocco,1962,Morocco
Mozambique,1962,Mozambique,1962,Mozambique
Myanmar,1962,Myanmar,1962,Myanmar
Namibia,1962,Namibia,1962,Namibia
Nepal,1962,Nepal,1962,Nepal
Netherlands,1962,Netherlands,1962,Netherlands
New Zealand,1962,New Zealand,1962,New Zealand
Nicaragua,1962,Nicaragua,1962,Nicaragua
Niger,1962,Niger,1962,Niger
Nigeria,1962,Nigeria,1962,Nigeria
North Korea,1962,North Korea,1962,North Korea
Norway,1962,Norway,1962,Norway
Oman,1962,Oman,1962,Oman
Pakistan,1962,Pakistan,1962,Pakistan
Palestine,1962,Palestine,1962,Palestine
Panama,1962,Panama,1962,Panama
Papua New Guinea,1962,Papua New Guinea,1962,Papua New Guinea
Paraguay,1962,Paraguay,1962,Paraguay
Peru,1962,Peru,1962,Peru
Philippines,1962,Philippines,1962,Philippines
Poland,1962,Poland,1962,Poland
Portugal,1962,Portugal,1962,Portugal
Qatar,1962,Qatar,1962,Qatar
Romania,1962,Romania,1962,Romania
Russia,1962,Russia,1962,Russia
Rwanda,1962,Rwanda,1962,Rwanda
Samoa,1962,Samoa,1962,Samoa
Sao Tome and Principe,1962,Sao Tome and Principe,1962,Sao Tome and Principe
Saudi Arabia,1962,Saudi Arabia,1962,Saudi Arabia
Senegal,1962,Senegal,1962,Senegal
Serbia,1962,Serbia,1962,Serbia
Seychelles,1962,Seychelles,1962,Seychelles
Sierra Leone,1962,Sierra Leone,1962,Sierra Leone
Singapore,1962,Singapore,1962,Singapore
Slovak Republic,1962,Slovak Republic,1962,Slovak Republic
Slovenia,1962,Slovenia,1962,Slovenia
Solomon Islands,1962,Solomon Islands,1962,Solomon Islands
Somalia,1962,Somalia,1962,Somalia
South Africa,1962,South Africa,1962,South Africa
South Korea,1962,South Korea,1962,South Korea
South Sudan,1962,South Sudan,1962,South Sudan
Spain,1962,Spain,1962,Spain
Sri Lanka,1962,Sri Lanka,1962,Sri Lanka
St. Lucia,1962,St. Lucia,1962,St. Lucia
St. Vincent and the Grenadines,1962,St. Vincent and the Grenadines,1962,St. Vincent and the Grenadines
Sudan,1962,Sudan,1962,Sudan
Suriname,1962,Suriname,1962,Suriname
Swaziland,1962,Swaziland,1962,Swaziland
Sweden,1962,Sweden,1962,Sweden
Switzerland,1962,Switzerland,1962,Switzerland
Syria,1962,Syria,1962,Syria
Tajikistan,1962,Tajikistan,1962,Tajikistan
Tanzania,1962,Tanzania,1962,Tanzania
Thailand,1962,Thailand,1962,Thailand
Timor-Leste,1962,Timor-Leste,1962,Timor-Leste
Togo,1962,Togo,1962,Togo
Tonga,1962,Tonga,1962,Tonga
Trinidad and Tobago,1962,Trinidad and Tobago,1962,Trinidad and Tobago
Tunisia,1962,Tunisia,1962,Tunisia
Turkey,1962,Turkey,1962,Turkey
Turkmenistan,1962,Turkmenistan,1962,Turkmenistan
Uganda,1962,Uganda,1962,Uganda
Ukraine,1962,Ukraine,1962,Ukraine
United Arab Emirates,1962,United Arab Emirates,1962,United Arab Emirates
United Kingdom,1962,United Kingdom,1962,United Kingdom
United States,1962,United States,1962,United States
Uruguay,1962,Uruguay,1962,Uruguay
Uzbekistan,1962,Uzbekistan,1962,Uzbekistan
Vanuatu,1962,Vanuatu,1962,Vanuatu
Venezuela,1962,Venezuela,1962,Venezuela
Vietnam,1962,Vietnam,1962,Vietnam
Yemen,1962,Yemen,1962,Yemen
Zambia,1962,Zambia,1962,Zambia
Zimbabwe,1962,Zimbabwe,1962,Zimbabwe
Afghanistan,1967,Afghanistan,1967,Afghanistan
Albania,1967,Albania,1967,Albania
Algeria,1967,Algeria,1967,Algeria
Andorra,1967,Andorra,1967,Andorra
Angola,1967,Angola,1967,Angola
Antigua and Barbuda,1967,Antigua and Barbuda,1967,Antigua and Barbuda
Argentina,1967,Argentina,1967,Argentina
Armenia,1967,Armenia,1967,Armenia
Australia,1967,Australia,1967,Australia
Austria,1967,Austria,1967,Austria
Azerbaijan,1967,Azerbaijan,1967,Azerbaijan
Bahamas,1967,Bahamas,1967,Bahamas
Bahrain,1967,Bahrain,1967,Bahrain
Bangladesh,1967,Bangladesh,1967,Bangladesh
Barbados,1967,Barbados,1967,Barbados
Belarus,1967,Belarus,1967,Belarus
Belgium,1967,Belgium,1967,Belgium
Belize,1967,Belize,1967,Belize
Benin,1967,Benin,1967,Benin
Bhutan,1967,Bhutan,1967,Bhutan
Bolivia,1967,Bolivia,1967,Bolivia
Bosnia and Herzegovina,1967,Bosnia and Herzegovina,1967,Bosnia and Herzegovina
Botswana,1967,Botswana,1967,Botswana
Brazil,1967,Brazil,1967,Brazil
Brunei,1967,Brunei,1967,Brunei
Bulgaria,1967,Bulgaria,1967,Bulgaria
Burkina Faso,1967,Burkina Faso,1967,Burkina Faso
Burundi,1967,Burundi,1967,Burundi
