Increase/Decrease?,year,CAF,Country
Decrease,2017,37,Saudi Arabia
Increase,2017,28,Senegal
Increase,2017,21,Serbia
Increase,2017,47,Sierra Leone
Decrease,2017,54,Singapore
Increase,2017,28,Slovakia
Neither,2017,39,Slovenia
Decrease,2017,41,South Africa
Decrease,2017,36,Spain
Decrease,2017,45,Sri Lanka
Increase,2017,41,Sweden
Decrease,2017,45,Switzerland
Decrease,2017,42,Tajikistan
Increase,2017,34,Thailand
Increase,2017,24,Togo
Increase,2017,20,Tunisia
Increase,2017,20,Türkiye
Increase,2017,39,Uganda
Increase,2017,29,Ukraine
Decrease,2017,51,United Arab Emirates
Decrease,2017,55,United Kingdom of Great Britain and Northern Ireland
Increase,2017,58,United States of America
Increase,2017,30,Uruguay
Increase,2017,36,Uzbekistan
Increase,2017,26,Venezuela (Bolivarian Republic of)
Increase,2017,46,Zambia
Increase,2017,30,Zimbabwe
Increase,2021,21,Afghanistan
Increase,2021,34,Albania
Increase,2021,30,Algeria
Increase,2021,47,Argentina
Increase,2021,29,Armenia
Decrease,2021,55,Australia
Increase,2021,45,Austria
Increase,2021,32,Benin
Increase,2021,43,Bolivia (Plurinational State of)
Increase,2021,44,Bosnia and Herzegovina
Increase,2021,47,Brazil
Increase,2021,41,Bulgaria
Increase,2021,39,Burkina Faso
Increase,2021,19,Cambodia
Increase,2021,37,Cameroon
Increase,2021,51,Canada
Increase,2021,38,Chile
Increase,2021,42,China
Increase,2021,42,Colombia
Increase,2021,44,Costa Rica
Increase,2021,37,Croatia
Decrease,2021,40,Cyprus
Increase,2021,48,Czechia
Neither,2021,46,Denmark
Increase,2021,44,Dominican Republic
Increase,2021,42,Ecuador
Decrease,2021,23,Egypt
Increase,2021,36,El Salvador
Increase,2021,40,Estonia
Decrease,2021,37,Finland
Neither,2021,32,France
Increase,2021,34,Gabon
Increase,2021,31,Georgia
Decrease,2021,41,Germany
Increase,2021,43,Ghana
Increase,2021,32,Greece
Increase,2021,47,Guinea
Increase,2021,46,Honduras
Decrease,2021,37,Hong Kong
Increase,2021,40,Hungary
Decrease,2021,46,Iceland
Increase,2021,40,India
Increase,2021,68,Indonesia
Decrease,2021,43,Iran (Islamic Republic of)
Decrease,2021,37,Iraq
Decrease,2021,49,Ireland
Decrease,2021,37,Israel
Decrease,2021,29,Italy
Increase,2021,46,Jamaica
Decrease,2021,20,Japan
Increase,2021,32,Jordan
Increase,2021,34,Kazakhstan
Increase,2021,61,Kenya
Increase,2021,43,Kosovo
Increase,2021,44,Kyrgyzstan
Increase,2021,29,Latvia
Decrease,2021,24,Lebanon
Increase,2021,37,Lithuania
Increase,2021,39,Malawi
Increase,2021,38,Mali
Decrease,2021,45,Malta
Decrease,2021,37,Mauritius
Increase,2021,44,Mexico
Increase,2021,46,Mongolia
Increase,2021,31,Morocco
Increase,2021,34,Mozambique
Decrease,2021,52,Myanmar
Increase,2021,35,Namibia
Increase,2021,40,Nepal
Decrease,2021,46,Netherlands
Decrease,2021,54,New Zealand
Increase,2021,40,Nicaragua
Neither,2021,48,Nigeria
Decrease,2021,45,Norway
Increase,2021,29,Pakistan
Increase,2021,36,Panama
Increase,2021,44,Paraguay
Increase,2021,39,Peru
Increase,2021,47,Philippines
Increase,2021,47,Poland
Decrease,2021,26,Portugal
Increase,2021,30,Romania
Increase,2021,46,Russian Federation
Decrease,2021,36,Saudi Arabia
Increase,2021,40,Senegal
Increase,2021,46,Serbia
Increase,2021,51,Sierra Leone
Decrease,2021,45,Singapore
Increase,2021,41,Slovakia
Neither,2021,39,Slovenia
Decrease,2021,35,South Africa
Decrease,2021,32,Spain
Decrease,2021,44,Sri Lanka
Increase,2021,42,Sweden
Decrease,2021,37,Switzerland
Decrease,2021,39,Tajikistan
Increase,2021,48,Thailand
Increase,2021,34,Togo
Increase,2021,28,Tunisia
Increase,2021,40,Türkiye
Increase,2021,46,Uganda
Increase,2021,49,Ukraine
Decrease,2021,47,United Arab Emirates
Decrease,2021,47,United Kingdom of Great Britain and Northern Ireland
Increase,2021,59,United States of America
Increase,2021,40,Uruguay
Increase,2021,38,Uzbekistan
Increase,2021,45,Venezuela (Bolivarian Republic of)
Increase,2021,50,Zambia
Increase,2021,31,Zimbabwe
