ValueC,State,Type1
0.002935729,Illinois,Refugees
0.008175848000000001,Illinois,Asylees
0.106127181,Indiana,Lawful Permanent Residents
1.139937864,Indiana,Nonimmigrants
0.08980331300000001,Indiana,Naturalizations
0.0029679759999999998,Indiana,Refugees
0.005553935,Indiana,Asylees
0.108046184,Iowa,Lawful Permanent Residents
0.835870331,Iowa,Nonimmigrants
0.10347379400000001,Iowa,Naturalizations
0.007672845,Iowa,Refugees
0.001096121,Iowa,Asylees
0.115825695,Kansas,Lawful Permanent Residents
0.974994054,Kansas,Nonimmigrants
0.10090023,Kansas,Naturalizations
0.005690759,Kansas,Refugees
0.00132898,Kansas,Asylees
0.09759626199999999,Kentucky,Lawful Permanent Residents
0.916043264,Kentucky,Nonimmigrants
0.111921912,Kentucky,Naturalizations
0.014835696,Kentucky,Refugees
0.0015966670000000002,Kentucky,Asylees
0.067841006,Louisiana,Lawful Permanent Residents
1.537376242,Louisiana,Nonimmigrants
0.05056177,Louisiana,Naturalizations
0.000151383,Louisiana,Refugees
0.011115803999999998,Louisiana,Asylees
0.06551298700000001,Maine,Lawful Permanent Residents
2.519444386,Maine,Nonimmigrants
0.08402277400000001,Maine,Naturalizations
0.0029149270000000003,Maine,Refugees
0.003133547,Maine,Asylees
0.280350987,Maryland,Lawful Permanent Residents
1.920770839,Maryland,Nonimmigrants
0.32111250199999997,Maryland,Naturalizations
0.004574114000000001,Maryland,Refugees
0.018993925,Maryland,Asylees
0.32114373,Massachusetts,Lawful Permanent Residents
3.331141407,Massachusetts,Nonimmigrants
0.34482398200000003,Massachusetts,Naturalizations
0.0032929009999999996,Massachusetts,Refugees
0.006442631999999999,Massachusetts,Asylees
0.138585832,Michigan,Lawful Permanent Residents
3.654540912,Michigan,Nonimmigrants
0.116567708,Michigan,Naturalizations
0.0053130040000000005,Michigan,Refugees
0.001900344,Michigan,Asylees
0.153730514,Minnesota,Lawful Permanent Residents
1.05205707,Minnesota,Nonimmigrants
0.16469875,Minnesota,Naturalizations
0.004783272,Minnesota,Refugees
0.0042050740000000005,Minnesota,Asylees
0.039491994,Mississippi,Lawful Permanent Residents
0.7813313040000001,Mississippi,Nonimmigrants
0.032237671,Mississippi,Naturalizations
0.0,Mississippi,Refugees
0.002406808,Mississippi,Asylees
0.081093521,Missouri,Lawful Permanent Residents
0.7603530829999999,Missouri,Nonimmigrants
0.073603475,Missouri,Naturalizations
0.004701544,Missouri,Refugees
0.001475312,Missouri,Asylees
0.036585222,Montana,Lawful Permanent Residents
1.2137419170000001,Montana,Nonimmigrants
0.041294211000000004,Montana,Naturalizations
0.003531742,Montana,Refugees
0.00036223,Montana,Asylees
0.148444868,Nebraska,Lawful Permanent Residents
3.871431976,Nebraska,Nonimmigrants
0.135204503,Nebraska,Naturalizations
0.00636556,Nebraska,Refugees
0.002597149,Nebraska,Asylees
0.231870893,Nevada,Lawful Permanent Residents
8.013890625,Nevada,Nonimmigrants
0.25639386399999997,Nevada,Naturalizations
0.003085251,Nevada,Refugees
0.0034351240000000003,Nevada,Asylees
0.12059104699999999,New Hampshire,Lawful Permanent Residents
0.9747356359999999,New Hampshire,Nonimmigrants
0.14110952400000001,New Hampshire,Naturalizations
0.004247685,New Hampshire,Refugees
0.001007925,New Hampshire,Asylees
0.408368071,New Jersey,Lawful Permanent Residents
3.934734918,New Jersey,Nonimmigrants
0.431125926,New Jersey,Naturalizations
0.00077694,New Jersey,Refugees
0.007132736999999999,New Jersey,Asylees
0.13332533,New Mexico,Lawful Permanent Residents
1.356742382,New Mexico,Nonimmigrants
0.120800973,New Mexico,Naturalizations
0.0017014220000000002,New Mexico,Refugees
0.0015596370000000002,New Mexico,Asylees
0.383783696,New York,Lawful Permanent Residents
5.965639192,New York,Nonimmigrants
0.453667043,New York,Naturalizations
0.0035793659999999996,New York,Refugees
0.00985082,New York,Asylees
0.149102061,North Carolina,Lawful Permanent Residents
1.55781894,North Carolina,Nonimmigrants
0.124848808,North Carolina,Naturalizations
0.00475777,North Carolina,Refugees
0.002454706,North Carolina,Asylees
0.12852475300000002,North Dakota,Lawful Permanent Residents
1.476615205,North Dakota,Nonimmigrants
0.170850173,North Dakota,Naturalizations
0.003871227,North Dakota,Refugees
0.000516164,North Dakota,Asylees
0.101290176,Ohio,Lawful Permanent Residents
0.890745743,Ohio,Nonimmigrants
0.095789335,Ohio,Naturalizations
0.003845495,Ohio,Refugees
0.002860777,Ohio,Asylees
0.09288526,Oklahoma,Lawful Permanent Residents
0.8176060079999999,Oklahoma,Nonimmigrants
0.09268459,Oklahoma,Naturalizations
0.000627095,Oklahoma,Refugees
0.000652178,Oklahoma,Asylees
0.150277133,Oregon,Lawful Permanent Residents
1.494151768,Oregon,Nonimmigrants
0.151242713,Oregon,Naturalizations
0.0032499990000000004,Oregon,Refugees
0.0008007239999999999,Oregon,Asylees
0.13349217300000002,Pennsylvania,Lawful Permanent Residents
1.228812958,Pennsylvania,Nonimmigrants
0.15190462,Pennsylvania,Naturalizations
0.0031008809999999998,Pennsylvania,Refugees
0.0035482720000000003,Pennsylvania,Asylees
0.040630177999999996,Puerto Rico,Lawful Permanent Residents
0.944758891,Puerto Rico,Nonimmigrants
0.035972722,Puerto Rico,Naturalizations
0.0,Puerto Rico,Refugees
0.000337053,Puerto Rico,Asylees
0.2024443,Rhode Island,Lawful Permanent Residents
1.698870949,Rhode Island,Nonimmigrants
0.27190332300000003,Rhode Island,Naturalizations
0.004289848,Rhode Island,Refugees
0.003742208,Rhode Island,Asylees
0.08434307099999999,South Carolina,Lawful Permanent Residents
1.0925876159999999,South Carolina,Nonimmigrants
0.049010684000000006,South Carolina,Naturalizations
0.001907255,South Carolina,Refugees
0.0007128130000000001,South Carolina,Asylees
0.076057433,South Dakota,Lawful Permanent Residents
0.853272815,South Dakota,Nonimmigrants
0.107217526,South Dakota,Naturalizations
0.0056959309999999996,South Dakota,Refugees
0.0011168489999999998,South Dakota,Asylees
0.10432648800000001,Tennessee,Lawful Permanent Residents
1.079536152,Tennessee,Nonimmigrants
0.066306171,Tennessee,Naturalizations
0.004515988,Tennessee,Refugees
0.001118245,Tennessee,Asylees
0.267113105,Texas,Lawful Permanent Residents
6.782159311,Texas,Nonimmigrants
0.26085462600000003,Texas,Naturalizations
0.003146173,Texas,Refugees
0.0027194579999999997,Texas,Asylees
0.166328388,Utah,Lawful Permanent Residents
1.961848126,Utah,Nonimmigrants
0.11866475900000001,Utah,Naturalizations
0.005482366,Utah,Refugees
0.006740614,Utah,Asylees
0.065523491,Vermont,Lawful Permanent Residents
2.007838035,Vermont,Nonimmigrants
0.091547005,Vermont,Naturalizations
0.0072803880000000005,Vermont,Refugees
0.0,Vermont,Asylees
0.23637297300000001,Virginia,Lawful Permanent Residents
1.7695342680000001,Virginia,Nonimmigrants
0.23989056600000003,Virginia,Naturalizations
0.00314732,Virginia,Refugees
0.008990689,Virginia,Asylees
0.28615947,Washington,Lawful Permanent Residents
3.141396505,Washington,Nonimmigrants
0.25212271,Washington,Naturalizations
0.0062025990000000005,Washington,Refugees
0.004328897,Washington,Asylees
0.02770675,West Virginia,Lawful Permanent Residents
0.460190055,West Virginia,Nonimmigrants
0.027258057999999998,West Virginia,Naturalizations
0.0,West Virginia,Refugees
0.000280433,West Virginia,Asylees
0.08522860300000001,Wisconsin,Lawful Permanent Residents
0.846841572,Wisconsin,Nonimmigrants
0.085296446,Wisconsin,Naturalizations
0.0062924999999999995,Wisconsin,Refugees
0.002476294,Wisconsin,Asylees
0.048375699999999994,Wyoming,Lawful Permanent Residents
1.006732861,Wyoming,Nonimmigrants
0.039218871,Wyoming,Naturalizations
0.0,Wyoming,Refugees
0.0,Wyoming,Asylees
